"District","FIPS","Year","Incident Type","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2009-2010","Violent Crimes Against Persons","Incidents","Number","0"
"Achievement First Bridgeport Academy District","","2009-2010","School Policy Violations","Incidents","Number","20"
"Achievement First Bridgeport Academy District","","2009-2010","Sexually Related Behavior","Incidents","Number","0"
"Achievement First Bridgeport Academy District","","2009-2010","Personally Threatening Behavior","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2009-2010","Theft Related Behaviors","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2009-2010","Physical and Verbal Confrontation","Incidents","Number","20"
"Achievement First Bridgeport Academy District","","2009-2010","Fighting and Battery","Incidents","Number","6"
"Achievement First Bridgeport Academy District","","2009-2010","Property Damage","Incidents","Number","0"
"Achievement First Bridgeport Academy District","","2009-2010","Weapons","Incidents","Number","0"
"Achievement First Bridgeport Academy District","","2009-2010","Drugs, Alcohol, Tobacco","Incidents","Number","0"
"Achievement First Bridgeport Academy District","","2010-2011","Violent Crimes Against Persons","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2010-2011","School Policy Violations","Incidents","Number","343"
"Achievement First Bridgeport Academy District","","2010-2011","Sexually Related Behavior","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2010-2011","Personally Threatening Behavior","Incidents","Number","28"
"Achievement First Bridgeport Academy District","","2010-2011","Theft Related Behaviors","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2010-2011","Physical and Verbal Confrontation","Incidents","Number","48"
"Achievement First Bridgeport Academy District","","2010-2011","Fighting and Battery","Incidents","Number","19"
"Achievement First Bridgeport Academy District","","2010-2011","Property Damage","Incidents","Number","9"
"Achievement First Bridgeport Academy District","","2010-2011","Weapons","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2010-2011","Drugs, Alcohol, Tobacco","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2011-2012","Violent Crimes Against Persons","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2011-2012","School Policy Violations","Incidents","Number","659"
"Achievement First Bridgeport Academy District","","2011-2012","Sexually Related Behavior","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2011-2012","Personally Threatening Behavior","Incidents","Number","28"
"Achievement First Bridgeport Academy District","","2011-2012","Theft Related Behaviors","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2011-2012","Physical and Verbal Confrontation","Incidents","Number","26"
"Achievement First Bridgeport Academy District","","2011-2012","Fighting and Battery","Incidents","Number","47"
"Achievement First Bridgeport Academy District","","2011-2012","Property Damage","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2011-2012","Weapons","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2011-2012","Drugs, Alcohol, Tobacco","Incidents","Number","0"
"Achievement First Bridgeport Academy District","","2012-2013","Violent Crimes Against Persons","Incidents","Number","0"
"Achievement First Bridgeport Academy District","","2012-2013","School Policy Violations","Incidents","Number","241"
"Achievement First Bridgeport Academy District","","2012-2013","Sexually Related Behavior","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2012-2013","Personally Threatening Behavior","Incidents","Number","16"
"Achievement First Bridgeport Academy District","","2012-2013","Theft Related Behaviors","Incidents","Number","6"
"Achievement First Bridgeport Academy District","","2012-2013","Physical and Verbal Confrontation","Incidents","Number","22"
"Achievement First Bridgeport Academy District","","2012-2013","Fighting and Battery","Incidents","Number","75"
"Achievement First Bridgeport Academy District","","2012-2013","Property Damage","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2012-2013","Weapons","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2012-2013","Drugs, Alcohol, Tobacco","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2013-2014","Violent Crimes Against Persons","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2013-2014","School Policy Violations","Incidents","Number","1310"
"Achievement First Bridgeport Academy District","","2013-2014","Sexually Related Behavior","Incidents","Number","0"
"Achievement First Bridgeport Academy District","","2013-2014","Personally Threatening Behavior","Incidents","Number","28"
"Achievement First Bridgeport Academy District","","2013-2014","Theft Related Behaviors","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2013-2014","Physical and Verbal Confrontation","Incidents","Number","113"
"Achievement First Bridgeport Academy District","","2013-2014","Fighting and Battery","Incidents","Number","87"
"Achievement First Bridgeport Academy District","","2013-2014","Property Damage","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2013-2014","Weapons","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2013-2014","Drugs, Alcohol, Tobacco","Incidents","Number","8"
"Achievement First Bridgeport Academy District","","2014-2015","Violent Crimes Against Persons","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","School Policy Violations","Incidents","Number","1220"
"Achievement First Bridgeport Academy District","","2014-2015","Sexually Related Behavior","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Personally Threatening Behavior","Incidents","Number","12"
"Achievement First Bridgeport Academy District","","2014-2015","Theft Related Behaviors","Incidents","Number","19"
"Achievement First Bridgeport Academy District","","2014-2015","Physical and Verbal Confrontation","Incidents","Number","231"
"Achievement First Bridgeport Academy District","","2014-2015","Fighting and Battery","Incidents","Number","180"
"Achievement First Bridgeport Academy District","","2014-2015","Property Damage","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Weapons","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Drugs, Alcohol, Tobacco","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Violent Crimes Against Persons","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","School Policy Violations","Incidents","Number","584"
"Achievement First Bridgeport Academy District","","2015-2016","Sexually Related Behavior","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Personally Threatening Behavior","Incidents","Number","18"
"Achievement First Bridgeport Academy District","","2015-2016","Theft Related Behaviors","Incidents","Number","9"
"Achievement First Bridgeport Academy District","","2015-2016","Physical and Verbal Confrontation","Incidents","Number","148"
"Achievement First Bridgeport Academy District","","2015-2016","Fighting and Battery","Incidents","Number","68"
"Achievement First Bridgeport Academy District","","2015-2016","Property Damage","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Weapons","Incidents","Number","8"
"Achievement First Bridgeport Academy District","","2015-2016","Drugs, Alcohol, Tobacco","Incidents","Number","8"
"Achievement First Bridgeport Academy District","","2016-2017","Violent Crimes Against Persons","Incidents","Number","0"
"Achievement First Bridgeport Academy District","","2016-2017","School Policy Violations","Incidents","Number","490"
"Achievement First Bridgeport Academy District","","2016-2017","Sexually Related Behavior","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Personally Threatening Behavior","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Theft Related Behaviors","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Physical and Verbal Confrontation","Incidents","Number","161"
"Achievement First Bridgeport Academy District","","2016-2017","Fighting and Battery","Incidents","Number","59"
"Achievement First Bridgeport Academy District","","2016-2017","Property Damage","Incidents","Number","0"
"Achievement First Bridgeport Academy District","","2016-2017","Weapons","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Drugs, Alcohol, Tobacco","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2017-2018","Violent Crimes Against Persons","Incidents","Number","0"
"Achievement First Bridgeport Academy District","","2017-2018","School Policy Violations","Incidents","Number","308"
"Achievement First Bridgeport Academy District","","2017-2018","Sexually Related Behavior","Incidents","Number","0"
"Achievement First Bridgeport Academy District","","2017-2018","Personally Threatening Behavior","Incidents","Number","0"
"Achievement First Bridgeport Academy District","","2017-2018","Theft Related Behaviors","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2017-2018","Physical and Verbal Confrontation","Incidents","Number","42"
"Achievement First Bridgeport Academy District","","2017-2018","Fighting and Battery","Incidents","Number","49"
"Achievement First Bridgeport Academy District","","2017-2018","Property Damage","Incidents","Number","0"
"Achievement First Bridgeport Academy District","","2017-2018","Weapons","Incidents","Number","0"
"Achievement First Bridgeport Academy District","","2017-2018","Drugs, Alcohol, Tobacco","Incidents","Number","8"
"Achievement First Bridgeport Academy District","","2018-2019","Violent Crimes Against Persons","Incidents","Number","0"
"Achievement First Bridgeport Academy District","","2018-2019","School Policy Violations","Incidents","Number","249"
"Achievement First Bridgeport Academy District","","2018-2019","Sexually Related Behavior","Incidents","Number","0"
"Achievement First Bridgeport Academy District","","2018-2019","Personally Threatening Behavior","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2018-2019","Theft Related Behaviors","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2018-2019","Physical and Verbal Confrontation","Incidents","Number","37"
"Achievement First Bridgeport Academy District","","2018-2019","Fighting and Battery","Incidents","Number","36"
"Achievement First Bridgeport Academy District","","2018-2019","Property Damage","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2018-2019","Weapons","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2018-2019","Drugs, Alcohol, Tobacco","Incidents","Number","10"
"Achievement First Bridgeport Academy District","","2019-2020","Violent Crimes Against Persons","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2019-2020","School Policy Violations","Incidents","Number","142"
"Achievement First Bridgeport Academy District","","2019-2020","Sexually Related Behavior","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2019-2020","Personally Threatening Behavior","Incidents","Number","0"
"Achievement First Bridgeport Academy District","","2019-2020","Theft Related Behaviors","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2019-2020","Physical and Verbal Confrontation","Incidents","Number","43"
"Achievement First Bridgeport Academy District","","2019-2020","Fighting and Battery","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2019-2020","Property Damage","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2019-2020","Weapons","Incidents","Number","-9999"
"Achievement First Bridgeport Academy District","","2019-2020","Drugs, Alcohol, Tobacco","Incidents","Number","6"
"Achievement First Hartford Academy District","","2009-2010","Violent Crimes Against Persons","Incidents","Number","0"
"Achievement First Hartford Academy District","","2009-2010","School Policy Violations","Incidents","Number","344"
"Achievement First Hartford Academy District","","2009-2010","Sexually Related Behavior","Incidents","Number","-9999"
"Achievement First Hartford Academy District","","2009-2010","Personally Threatening Behavior","Incidents","Number","11"
"Achievement First Hartford Academy District","","2009-2010","Theft Related Behaviors","Incidents","Number","7"
"Achievement First Hartford Academy District","","2009-2010","Physical and Verbal Confrontation","Incidents","Number","62"
"Achievement First Hartford Academy District","","2009-2010","Fighting and Battery","Incidents","Number","40"
"Achievement First Hartford Academy District","","2009-2010","Property Damage","Incidents","Number","-9999"
"Achievement First Hartford Academy District","","2009-2010","Weapons","Incidents","Number","-9999"
"Achievement First Hartford Academy District","","2009-2010","Drugs, Alcohol, Tobacco","Incidents","Number","0"
"Achievement First Hartford Academy District","","2010-2011","Violent Crimes Against Persons","Incidents","Number","0"
"Achievement First Hartford Academy District","","2010-2011","School Policy Violations","Incidents","Number","623"
"Achievement First Hartford Academy District","","2010-2011","Sexually Related Behavior","Incidents","Number","-9999"
"Achievement First Hartford Academy District","","2010-2011","Personally Threatening Behavior","Incidents","Number","11"
"Achievement First Hartford Academy District","","2010-2011","Theft Related Behaviors","Incidents","Number","-9999"
"Achievement First Hartford Academy District","","2010-2011","Physical and Verbal Confrontation","Incidents","Number","78"
"Achievement First Hartford Academy District","","2010-2011","Fighting and Battery","Incidents","Number","28"
"Achievement First Hartford Academy District","","2010-2011","Property Damage","Incidents","Number","-9999"
"Achievement First Hartford Academy District","","2010-2011","Weapons","Incidents","Number","0"
"Achievement First Hartford Academy District","","2010-2011","Drugs, Alcohol, Tobacco","Incidents","Number","0"
"Achievement First Hartford Academy District","","2011-2012","Violent Crimes Against Persons","Incidents","Number","-9999"
"Achievement First Hartford Academy District","","2011-2012","School Policy Violations","Incidents","Number","1606"
"Achievement First Hartford Academy District","","2011-2012","Sexually Related Behavior","Incidents","Number","9"
"Achievement First Hartford Academy District","","2011-2012","Personally Threatening Behavior","Incidents","Number","45"
"Achievement First Hartford Academy District","","2011-2012","Theft Related Behaviors","Incidents","Number","10"
"Achievement First Hartford Academy District","","2011-2012","Physical and Verbal Confrontation","Incidents","Number","81"
"Achievement First Hartford Academy District","","2011-2012","Fighting and Battery","Incidents","Number","37"
"Achievement First Hartford Academy District","","2011-2012","Property Damage","Incidents","Number","10"
"Achievement First Hartford Academy District","","2011-2012","Weapons","Incidents","Number","-9999"
"Achievement First Hartford Academy District","","2011-2012","Drugs, Alcohol, Tobacco","Incidents","Number","0"
"Achievement First Hartford Academy District","","2012-2013","Violent Crimes Against Persons","Incidents","Number","10"
"Achievement First Hartford Academy District","","2012-2013","School Policy Violations","Incidents","Number","2626"
"Achievement First Hartford Academy District","","2012-2013","Sexually Related Behavior","Incidents","Number","-9999"
"Achievement First Hartford Academy District","","2012-2013","Personally Threatening Behavior","Incidents","Number","17"
"Achievement First Hartford Academy District","","2012-2013","Theft Related Behaviors","Incidents","Number","9"
"Achievement First Hartford Academy District","","2012-2013","Physical and Verbal Confrontation","Incidents","Number","223"
"Achievement First Hartford Academy District","","2012-2013","Fighting and Battery","Incidents","Number","45"
"Achievement First Hartford Academy District","","2012-2013","Property Damage","Incidents","Number","24"
"Achievement First Hartford Academy District","","2012-2013","Weapons","Incidents","Number","-9999"
"Achievement First Hartford Academy District","","2012-2013","Drugs, Alcohol, Tobacco","Incidents","Number","-9999"
"Achievement First Hartford Academy District","","2013-2014","Violent Crimes Against Persons","Incidents","Number","-9999"
"Achievement First Hartford Academy District","","2013-2014","School Policy Violations","Incidents","Number","888"
"Achievement First Hartford Academy District","","2013-2014","Sexually Related Behavior","Incidents","Number","15"
"Achievement First Hartford Academy District","","2013-2014","Personally Threatening Behavior","Incidents","Number","37"
"Achievement First Hartford Academy District","","2013-2014","Theft Related Behaviors","Incidents","Number","-9999"
"Achievement First Hartford Academy District","","2013-2014","Physical and Verbal Confrontation","Incidents","Number","160"
"Achievement First Hartford Academy District","","2013-2014","Fighting and Battery","Incidents","Number","30"
