"Incident Counts, 2018-19"
"All Districts"

"",,"Incident Type",,,,,,,,,
"District","District Code","Violent Crimes Against Persons","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco","School Policy Violations"
"Achievement First Bridgeport Academy District","=""2850013""",0,0,"*","*",37,36,"*","*",10,249
"Achievement First Hartford Academy District","=""2880013""",0,"*",0,"*",30,12,0,"*",6,169
"Amistad Academy District","=""2790013""",0,0,0,"*",140,37,"*",6,"*",172
"Andover School District","=""0010011""","*","*","*",0,"*","*",0,"*",0,6
"Ansonia School District","=""0020011""","*","*",27,"*",101,134,9,6,22,519
"Area Cooperative Educational Services","=""2440014""","*",15,71,"*",194,178,37,8,20,118
"Ashford School District","=""0030011""",0,0,"*",0,"*","*","*",0,"*","*"
"Avon School District","=""0040011""","*",6,17,"*",13,26,0,"*",14,37
"Barkhamsted School District","=""0050011""",0,0,"*",0,0,0,0,0,0,0
"Berlin School District","=""0070011""",0,"*",35,"*",26,75,"*","*",42,118
"Bethany School District","=""0080011""",0,0,12,"*",70,35,"*",0,0,"*"
"Bethel School District","=""0090011""",0,8,31,8,39,20,6,"*",32,208
"Bloomfield School District","=""0110011""","*","*",12,19,167,167,12,"*",27,256
"Bolton School District","=""0120011""","*",0,"*",0,8,8,0,"*",7,10
"Booker T. Washington Academy District","=""2950013""",0,0,"*",0,"*","*",0,0,0,"*"
"Bozrah School District","=""0130011""",0,"*",6,0,0,"*",0,0,0,0
"Branford School District","=""0140011""","*","*",35,13,55,24,10,0,62,252
"Brass City Charter School District","=""2900013""","*",0,"*",0,"*",11,"*","*",0,0
"Bridgeport School District","=""0150011""",31,80,428,116,2031,2266,95,43,76,3551
"Bristol School District","=""0170011""",12,31,165,22,166,406,9,17,152,729
"Brookfield School District","=""0180011""",0,8,14,0,"*",42,"*","*",25,42
"Brooklyn School District","=""0190011""","*",0,8,0,11,14,"*",0,0,9
"Canaan School District","=""0210011""",0,"*","*",0,"*",0,0,0,0,0
"Canterbury School District","=""0220011""",0,0,0,0,0,0,0,0,0,"*"
"Canton School District","=""0230011""","*","*","*","*",6,11,"*","*","*",30
"Capital Preparatory Harbor School District","=""2970013""",0,0,9,"*",43,36,0,0,"*",47
"Capitol Region Education Council","=""2410014""","*",10,135,56,42,700,72,18,41,1014
"Cheshire School District","=""0250011""",0,0,50,"*",35,22,0,"*",33,82
"Chester School District","=""0260011""",0,0,"*",0,"*",0,0,0,0,"*"
"Clinton School District","=""0270011""",0,0,14,"*",20,18,"*",0,19,52
"Colchester School District","=""0280011""",0,"*",16,"*",8,7,6,"*",39,220
"Colebrook School District","=""0290011""",0,0,0,0,0,"*",0,0,0,"*"
"Columbia School District","=""0300011""",0,0,"*",0,"*","*",0,0,"*",0
"Common Ground High School District","=""2680013""",0,"*","*","*",0,7,0,"*",0,"*"
"Connecticut Technical Education and Career System","=""9000016""",26,36,176,40,277,228,33,36,420,1484
"Cooperative Educational Services","=""2430014""",0,"*",14,0,7,7,"*",0,"*",24
"Cornwall School District","=""0310011""",0,0,"*",0,0,"*",0,0,0,0
"Coventry School District","=""0320011""","*","*","*","*",27,"*","*","*",49,34
"Cromwell School District","=""0330011""",0,0,19,"*",21,64,15,"*",9,158
"Danbury School District","=""0340011""",36,18,111,42,175,249,27,15,217,968
"Darien School District","=""0350011""",0,0,"*",7,0,"*",0,"*",39,15
"Deep River School District","=""0360011""",0,0,"*",0,"*","*",0,0,0,0
"Derby School District","=""0370011""",0,"*",30,"*",100,105,"*",6,13,128
"East Granby School District","=""0400011""","*","*",17,0,16,8,0,"*",15,16
"East Haddam School District","=""0410011""","*",11,9,0,"*","*",0,"*",11,14
"East Hampton School District","=""0420011""",0,"*",19,"*","*",26,"*","*",55,36
"East Hartford School District","=""0430011""","*",38,147,21,811,411,19,16,50,2258
"East Haven School District","=""0440011""",0,0,19,"*",13,34,"*","*",37,253
"East Lyme School District","=""0450011""","*",13,42,13,67,22,8,"*",49,77
"East Windsor School District","=""0470011""",0,8,21,"*","*",65,8,"*",34,97
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,0,"*",0,"*",23,8,0,13,27
"Eastford School District","=""0390011""",0,0,"*",0,"*","*",0,0,0,"*"
"Easton School District","=""0460011""",0,0,"*",0,0,0,0,0,0,0
"EdAdvance","=""2420014""",0,0,6,"*","*",36,"*","*",11,86
"Ellington School District","=""0480011""","*",11,39,7,36,38,15,"*",54,117
"Elm City College Preparatory School District","=""2890013""","*",0,"*","*",71,59,"*","*",0,230
"Elm City Montessori School District","=""2910013""",0,0,0,0,"*","*",0,0,0,"*"
"Enfield School District","=""0490011""","*","*",59,7,97,87,"*","*",102,1018
"Explorations District","=""2720013""",0,0,"*",0,0,"*","*",0,"*",9
"Fairfield School District","=""0510011""","*",8,19,17,69,12,10,"*",61,138
"Farmington School District","=""0520011""","*","*",8,"*",13,58,"*","*",10,27
"Franklin School District","=""0530011""",0,0,"*",0,"*",0,0,0,0,"*"
"Glastonbury School District","=""0540011""",0,"*",26,6,16,16,"*",0,77,178
"Granby School District","=""0560011""","*","*",8,0,6,9,0,"*",23,28
"Great Oaks Charter School District","=""2940013""",0,7,6,0,27,39,"*",0,"*",44
"Greenwich School District","=""0570011""",0,"*",10,15,27,42,6,"*",82,92
"Griswold School District","=""0580011""",0,"*",18,"*",19,21,0,"*",51,122
"Groton School District","=""0590011""","*","*",67,8,121,55,11,"*",53,532
"Guilford School District","=""0600011""","*","*",14,0,21,16,"*",0,6,32
"Hamden School District","=""0620011""","*",10,66,11,183,207,9,14,18,514
"Hampton School District","=""0630011""",0,0,0,0,0,"*",0,0,0,0
"Hartford School District","=""0640010""",47,128,575,109,1696,3122,182,68,121,2858
"Hartford School District","=""0640011""",47,128,575,109,1696,3122,182,68,121,2858
"Hartland School District","=""0650011""",0,0,0,0,"*","*",0,"*",0,"*"
"Hebron School District","=""0670011""",0,0,"*",0,"*",0,0,"*",0,12
"Highville Charter School District","=""2860013""","*","*","*","*",43,8,0,"*",0,42
"Integrated Day Charter School District","=""2640013""",0,0,"*",0,"*","*",0,0,0,7
"Interdistrict School for Arts and Comm District","=""2650013""",0,"*","*",0,12,20,"*",0,"*",31
"Jumoke Academy District","=""2610013""",0,0,6,"*",23,88,0,0,0,32
"Kent School District","=""0680011""",0,0,"*",0,0,0,0,0,0,"*"
"Killingly School District","=""0690011""","*",31,132,"*",257,116,92,13,66,443
"Learn","=""2450014""","*","*",34,"*",40,119,"*","*",28,212
"Lebanon School District","=""0710011""","*","*","*","*",12,19,"*",0,12,134
"Ledyard School District","=""0720011""",0,"*",30,"*",35,37,"*","*",29,83
"Lisbon School District","=""0730011""",0,0,14,0,9,8,0,"*","*",52
"Litchfield School District","=""0740011""",0,"*",10,"*",6,10,"*",0,11,28
"Madison School District","=""0760011""",0,"*",7,"*","*","*","*",0,17,27
"Manchester School District","=""0770011""",8,20,372,35,511,549,80,28,74,911
"Mansfield School District","=""0780011""",0,0,0,0,0,"*","*",0,"*",44
"Marlborough School District","=""0790011""",0,0,"*",0,"*",0,0,0,0,"*"
"Meriden School District","=""0800011""","*",18,74,19,185,54,9,15,50,412
"Middletown School District","=""0830011""",7,15,88,17,251,308,16,17,30,445
"Milford School District","=""0840011""","*",15,36,"*",40,19,9,"*",80,306
"Monroe School District","=""0850011""","*",0,"*",0,"*",12,0,"*",27,35
"Montville School District","=""0860011""","*",9,37,"*",56,60,11,"*",48,112
"Naugatuck School District","=""0880011""",0,11,57,11,159,93,15,12,77,452
"New Beginnings Inc Family Academy District","=""2800013""",0,0,"*",0,0,6,0,0,0,"*"
"New Britain School District","=""0890011""",11,118,510,60,1350,850,119,33,181,2341
"New Canaan School District","=""0900011""","*","*",9,"*","*","*",0,0,13,7
"New Fairfield School District","=""0910011""",0,0,"*",0,12,"*",0,"*",17,65
"New Hartford School District","=""0920011""",0,0,0,0,"*",13,0,0,0,"*"
"New Haven School District","=""0930010""",12,55,188,31,505,939,28,35,79,967
"New Haven School District","=""0930011""",12,55,188,31,505,939,28,35,79,967
"New London School District","=""0950011""",0,7,58,16,139,269,25,8,"*",339
"New Milford School District","=""0960011""","*",10,42,10,44,48,12,8,106,324
"Newington School District","=""0940011""","*",8,28,"*",46,33,"*","*",34,214
"Newtown School District","=""0970011""","*","*",10,"*",10,7,"*",0,36,66
"Norfolk School District","=""0980011""",0,0,0,0,0,"*",0,0,0,"*"
"North Branford School District","=""0990011""","*","*",19,"*",23,21,"*","*",22,97
"North Canaan School District","=""1000011""",0,0,"*",0,0,"*",0,"*","*",0
"North Haven School District","=""1010011""","*",0,36,"*",40,8,"*",0,20,83
"North Stonington School District","=""1020011""",0,"*",7,0,0,"*",0,"*","*",14
"Norwalk School District","=""1030011""","*",28,104,20,154,196,"*",17,153,385
"Norwich Free Academy District","=""9010022""","*",21,70,10,13,93,"*",7,52,410
"Norwich School District","=""1040011""","*",7,51,7,123,217,8,8,25,415
"Odyssey Community School District","=""2630013""",0,0,"*",0,0,"*",0,0,0,"*"
"Old Saybrook School District","=""1060011""",0,"*","*",0,"*","*",0,0,"*",8
"Orange School District","=""1070011""",0,"*","*",0,"*",8,0,0,0,13
"Oxford School District","=""1080011""","*","*","*",0,9,14,"*",0,26,31
"Park City Prep Charter School District","=""2830013""","*","*","*","*",7,7,0,0,0,18
"Plainfield School District","=""1090011""","*","*",59,10,75,57,30,"*",100,336
"Plainville School District","=""1100011""","*","*",26,"*",22,27,"*",6,39,67
"Plainville School District","=""3480015""","*","*",26,"*",22,27,"*",6,39,67
"Plymouth School District","=""1110011""",0,"*",14,"*",15,58,0,"*",22,95
"Pomfret School District","=""1120011""",0,0,0,"*",0,"*",0,0,"*","*"
"Portland School District","=""1130011""",0,0,12,"*",21,"*",0,"*",19,72
"Preston School District","=""1140011""",0,0,"*",0,"*",0,0,0,0,"*"
"Putnam School District","=""1160011""",0,"*",27,0,6,44,"*",6,20,76
"Redding School District","=""1170011""",0,0,0,0,"*",9,0,0,"*",8
"Regional School District 01","=""2010012""",0,0,"*","*","*",11,0,"*",14,63
"Regional School District 04","=""2040012""",0,0,"*",0,"*",7,"*","*",18,18
"Regional School District 05","=""2050012""",0,"*","*","*",18,18,"*","*",38,110
"Regional School District 06","=""2060012""",0,0,7,0,7,"*","*",0,14,24
"Regional School District 07","=""2070012""",0,"*",7,0,6,"*","*",0,15,23
"Regional School District 08","=""2080012""",0,8,25,7,10,18,"*","*",39,90
"Regional School District 09","=""2090012""",0,"*",0,"*","*","*",0,0,24,0
"Regional School District 10","=""2100012""","*","*",14,"*",6,10,"*","*",11,21
"Regional School District 11","=""2110012""",0,"*","*",0,6,"*",0,"*","*",30
"Regional School District 12","=""2120012""",0,0,"*",0,"*",6,"*","*",9,12
"Regional School District 13","=""2130012""",0,0,8,"*",7,14,"*","*",18,31
"Regional School District 14","=""2140012""",0,"*",11,0,13,13,"*","*",17,37
"Regional School District 15","=""2150012""","*","*",40,"*",9,13,"*","*",31,83
"Regional School District 16","=""2160012""","*","*",16,"*",16,20,"*","*",38,104
"Regional School District 17","=""2170012""","*",12,10,"*",15,25,7,0,21,91
"Regional School District 18","=""2180012""",0,"*",6,7,"*",6,7,"*",10,27
"Regional School District 19","=""2190012""",0,"*","*","*",0,6,"*","*",42,23
"Ridgefield School District","=""1180011""","*","*",27,"*",21,24,"*","*",35,40
"Rocky Hill School District","=""1190011""","*",0,8,6,"*",15,"*","*",16,83
"Salem School District","=""1210011""",0,"*",7,0,"*","*","*","*",0,7
"Salisbury School District","=""1220011""",0,0,"*",0,0,"*",0,0,"*","*"
"Scotland School District","=""1230011""",0,0,0,"*",0,"*",0,0,0,0
"Seymour School District","=""1240011""","*",15,78,"*",50,69,9,0,15,215
"Sharon School District","=""1250011""",0,0,0,0,0,"*",0,0,0,"*"
"Shelton School District","=""1260011""","*","*",27,7,65,54,"*","*",77,382
"Sherman School District","=""1270011""","*","*",6,0,"*","*",0,0,0,"*"
"Side By Side Charter School District","=""2700013""",0,0,0,0,"*","*",0,0,0,"*"
"Simsbury School District","=""1280011""",0,"*",11,"*",16,18,"*","*",16,55
"Somers School District","=""1290011""","*","*",14,"*",7,16,"*","*",46,53
"South Windsor School District","=""1320011""","*",11,43,9,39,36,6,"*",41,109
"Southington School District","=""1310011""","*","*",42,11,53,59,8,"*",70,253
"Sprague School District","=""1330011""","*","*",17,"*",24,"*",0,0,"*","*"
"Stafford School District","=""1340011""","*","*",6,"*",16,15,"*","*",32,85
"Stamford Academy District","=""2820013""",0,0,"*",0,10,12,0,0,0,0
"Stamford Charter School for Excellence District","=""2960013""",0,0,0,0,"*",0,0,0,0,0
"Stamford School District","=""1350011""",15,31,75,32,177,309,7,23,248,305
"Sterling School District","=""1360011""",0,0,10,0,"*",32,"*","*","*",19
"Stonington School District","=""1370011""",0,"*",17,"*",10,29,0,0,28,103
"Stratford School District","=""1380011""","*","*",51,23,201,134,9,12,122,519
"Suffield School District","=""1390011""","*","*",18,6,90,25,"*","*",38,61
"The Bridge Academy District","=""2690013""","*","*","*",0,0,21,0,0,0,11
"The Gilbert School District","=""9020022""","*","*",6,"*",39,10,0,"*",36,119
"The Woodstock Academy District","=""9030022""",0,8,8,6,"*",7,"*","*",53,49
"Thomaston School District","=""1400011""",0,"*",11,0,8,25,0,"*",8,73
"Thompson School District","=""1410011""","*","*",12,"*",8,54,"*","*",20,47
"Tolland School District","=""1420011""","*","*",14,"*",17,33,8,"*",42,92
"Torrington School District","=""1430011""","*",6,51,6,68,104,7,11,96,313
"Trailblazers Academy District","=""2780013""",0,"*","*",0,"*",9,0,"*","*","*"
"Trumbull School District","=""1440011""","*",0,7,13,26,9,7,0,45,121
"Unified School District #2","=""3470015""",0,0,0,0,0,"*",0,0,0,0
"Vernon School District","=""1460011""",0,14,83,8,91,49,17,13,42,292
"Wallingford School District","=""1480011""","*",16,59,11,127,130,6,6,59,273
"Waterbury School District","=""1510011""",24,59,459,56,1320,1537,53,31,88,5891
"Waterford School District","=""1520011""","*","*",38,"*",29,16,"*","*",24,220
"Watertown School District","=""1530011""","*","*",46,"*",16,40,"*",7,28,240
"West Hartford School District","=""1550011""",8,18,109,18,94,129,14,"*",119,523
"West Haven School District","=""1560011""","*",11,28,12,175,47,"*","*",49,844
"Westbrook School District","=""1540011""",0,0,"*",0,"*","*",0,0,0,"*"
"Weston School District","=""1570011""","*",0,18,"*","*",14,"*","*",8,34
