"Incident Counts, 2019-20"
"All Districts"

"",,"Incident Type",,,,,,,,,
"District","District Code","Violent Crimes Against Persons","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco","School Policy Violations"
"Achievement First Bridgeport Academy District","=""2850013""","*","*",0,"*",43,"*","*","*",6,142
"Achievement First Hartford Academy District","=""2880013""","*","*","*","*",36,12,0,"*","*",137
"Amistad Academy District","=""2790013""",0,"*",0,"*",43,18,"*","*","*",92
"Andover School District","=""0010011""",0,0,"*",0,"*","*",0,0,0,"*"
"Ansonia School District","=""0020011""",0,"*",16,0,51,61,7,"*",9,242
"Ansonia School District","=""3480015""",0,"*",16,0,51,61,7,"*",9,242
"Area Cooperative Educational Services","=""2440014""","*","*",35,11,116,223,15,9,"*",77
"Ashford School District","=""0030011""","*",0,0,0,"*","*","*",0,0,9
"Avon School District","=""0040011""","*","*",9,"*","*",17,0,0,"*",31
"Barkhamsted School District","=""0050011""",0,0,"*",0,"*",0,0,0,0,0
"Berlin School District","=""0070011""",0,"*",26,"*","*",28,"*","*",32,39
"Bethany School District","=""0080011""","*",0,32,"*",24,50,10,0,0,9
"Bethel School District","=""0090011""",0,22,39,"*",45,19,"*",0,7,99
"Bloomfield School District","=""0110011""",0,10,22,"*",103,104,9,"*","*",217
"Bolton School District","=""0120011""",0,0,"*","*","*","*",0,0,7,"*"
"Booker T. Washington Academy District","=""2950013""",0,0,"*",0,"*",11,"*",0,0,0
"Bozrah School District","=""0130011""",0,"*","*",0,0,9,"*","*","*",7
"Branford School District","=""0140011""","*",0,11,"*",40,23,"*","*",27,93
"Brass City Charter School District","=""2900013""",0,"*","*",0,"*",12,0,0,0,"*"
"Bridgeport School District","=""0150011""",50,54,332,95,1367,1728,70,48,75,2087
"Bristol School District","=""0170011""","*",14,85,8,79,270,12,8,74,465
"Brookfield School District","=""0180011""","*","*",11,"*","*",38,"*","*",17,61
"Brooklyn School District","=""0190011""","*","*","*","*","*",19,0,0,0,6
"Canaan School District","=""0210011""",0,0,"*",0,0,0,0,0,0,0
"Canterbury School District","=""0220011""",0,0,"*",0,"*",0,"*",0,"*","*"
"Canton School District","=""0230011""",0,0,"*",0,"*","*","*","*","*",20
"Capital Preparatory Harbor School District","=""2970013""",0,0,7,0,"*",59,0,"*",10,12
"Capitol Region Education Council","=""2410014""","*",6,195,90,23,1065,125,14,44,693
"Chaplin School District","=""0240011""",0,0,0,0,0,"*",0,0,0,0
"Cheshire School District","=""0250011""","*","*",19,"*",30,13,"*","*",8,59
"Chester School District","=""0260011""",0,0,0,0,0,0,0,0,0,"*"
"Clinton School District","=""0270011""",0,7,11,0,16,22,"*","*",21,75
"Colchester School District","=""0280011""",0,0,6,6,9,7,"*","*",30,158
"Colebrook School District","=""0290011""",0,0,0,0,"*",0,"*",0,0,"*"
"Columbia School District","=""0300011""",0,"*","*",0,0,"*",0,0,0,"*"
"Common Ground High School District","=""2680013""",0,"*",7,0,"*","*",0,"*",0,"*"
"Connecticut Technical Education and Career System","=""9000016""",15,40,132,19,180,154,22,32,265,1071
"Cooperative Educational Services","=""2430014""",0,0,9,0,"*",13,"*","*",6,32
"Cornwall School District","=""0310011""",0,0,0,0,0,0,0,0,0,"*"
"Coventry School District","=""0320011""","*",0,7,0,"*",17,"*",0,11,15
"Cromwell School District","=""0330011""",0,0,18,"*",12,22,"*","*","*",97
"Danbury School District","=""0340011""","*","*",50,8,40,157,6,19,184,731
"Darien School District","=""0350011""",0,0,"*",15,0,0,"*","*",19,6
"Deep River School District","=""0360011""",0,0,"*",0,0,"*",0,0,0,0
"Derby School District","=""0370011""","*","*",27,"*",17,107,"*","*",16,124
"East Granby School District","=""0400011""",0,0,8,"*","*","*",0,0,"*",26
"East Haddam School District","=""0410011""",0,"*",11,"*",0,7,"*",0,"*","*"
"East Hampton School District","=""0420011""","*",0,8,"*","*",7,"*","*",26,26
"East Hartford School District","=""0430011""","*",9,106,14,538,520,8,9,22,1177
"East Haven School District","=""0440011""","*","*",26,7,24,26,7,"*",38,139
"East Lyme School District","=""0450011""",0,8,77,"*",182,46,14,0,25,63
"East Windsor School District","=""0470011""",0,8,17,10,44,11,9,"*",10,80
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*","*",10,0,11,15,"*","*",15,29
"Eastford School District","=""0390011""",0,0,"*",0,"*",0,0,0,0,"*"
"Easton School District","=""0460011""",0,0,"*",0,0,"*",0,0,"*","*"
"EdAdvance","=""2420014""",0,"*",10,0,0,17,"*","*",10,28
"Ellington School District","=""0480011""",0,"*",32,"*",15,31,"*","*",21,101
"Elm City College Preparatory School District","=""2890013""",0,"*","*","*",37,61,0,"*","*",124
"Elm City Montessori School District","=""2910013""",0,0,"*",0,0,"*",0,0,0,0
"Enfield School District","=""0490011""","*",6,52,7,86,81,7,"*",72,728
"Essex School District","=""0500011""",0,0,0,0,"*",0,0,0,0,0
"Explorations District","=""2720013""",0,0,0,"*",0,7,0,0,43,"*"
"Fairfield School District","=""0510011""","*","*",11,15,50,"*","*","*",27,112
"Farmington School District","=""0520011""",0,"*",22,"*",9,23,"*","*","*",13
"Franklin School District","=""0530011""",0,0,0,0,0,"*",0,0,0,0
"Glastonbury School District","=""0540011""",0,"*",21,"*",8,18,"*",0,18,118
"Granby School District","=""0560011""",0,"*",9,0,21,14,0,0,13,12
"Great Oaks Charter School District","=""2940013""",0,0,"*",0,38,20,"*","*","*",45
"Greenwich School District","=""0570011""",0,"*",13,6,24,33,7,"*",32,86
"Griswold School District","=""0580011""",0,"*",19,"*",29,10,0,6,14,75
"Groton School District","=""0590011""",8,6,27,8,54,50,"*","*",20,257
"Guilford School District","=""0600011""",0,"*",18,"*",18,7,0,0,24,35
"Hamden School District","=""0620011""","*",7,38,10,120,106,"*",10,16,270
"Hampton School District","=""0630011""",0,0,0,0,0,0,0,"*",0,0
"Hartford School District","=""0640010""",79,162,963,141,3002,3649,364,56,92,3612
"Hartford School District","=""0640011""",79,162,963,141,3002,3649,364,56,92,3612
"Hartland School District","=""0650011""",0,0,0,0,0,0,0,0,"*",0
"Hebron School District","=""0670011""","*",0,"*",0,0,"*",0,0,0,"*"
"Highville Charter School District","=""2860013""",0,"*","*","*",12,32,"*",0,0,33
"Integrated Day Charter School District","=""2640013""",0,0,"*",0,0,0,"*",0,"*","*"
"Interdistrict School for Arts and Comm District","=""2650013""",0,"*","*","*",10,19,0,0,0,19
"Jumoke Academy District","=""2610013""",0,0,"*",0,31,12,"*",0,0,13
"Kent School District","=""0680011""",0,0,0,0,0,0,0,0,0,"*"
"Killingly School District","=""0690011""","*",13,79,10,257,110,46,12,102,357
"Learn","=""2450014""","*","*",28,"*",41,74,"*","*",11,81
"Lebanon School District","=""0710011""",0,"*",7,"*",7,23,"*","*","*",42
"Ledyard School District","=""0720011""","*",0,13,0,21,22,"*","*",13,34
"Lisbon School District","=""0730011""","*",0,11,0,6,"*","*","*",0,9
"Litchfield School District","=""0740011""",0,0,"*","*","*","*",0,0,"*",14
"Madison School District","=""0760011""",0,0,"*","*","*","*","*",0,20,22
"Manchester School District","=""0770011""",8,22,265,22,405,283,50,10,37,484
"Mansfield School District","=""0780011""",0,0,9,0,0,"*","*",0,"*",9
"Marlborough School District","=""0790011""","*",0,8,0,"*","*",0,0,0,0
"Meriden School District","=""0800011""","*",16,73,14,151,53,"*",21,76,309
"Middletown School District","=""0830011""",0,12,142,17,256,125,35,"*",25,392
"Milford School District","=""0840011""","*","*",15,"*",16,38,"*","*",47,218
"Monroe School District","=""0850011""",0,0,"*",0,"*","*","*",0,13,19
"Montville School District","=""0860011""","*","*",9,0,38,10,0,"*",38,97
"Naugatuck School District","=""0880011""","*",7,49,6,98,74,16,10,62,252
"New Beginnings Inc Family Academy District","=""2800013""",0,0,0,0,"*",19,0,0,0,0
"New Britain School District","=""0890011""",8,49,446,59,827,810,87,27,108,1507
"New Canaan School District","=""0900011""","*","*",6,0,"*","*",0,"*",15,"*"
"New Fairfield School District","=""0910011""","*","*",9,"*",0,"*","*","*",9,46
"New Hartford School District","=""0920011""",0,0,0,0,"*",6,0,0,0,"*"
