"Incident Counts, 2009-10"
"All Districts"

"",,"Incident Type",,,,,,,,,
"District","District Code","Violent Crimes Against Persons","School Policy Violations","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco"
"Achievement First Hartford Academy Inc. District","=""2880013""",0,344,"*",11,7,62,40,"*","*",0
"Amistad Academy District","=""2790013""","*",198,"*",16,7,64,21,6,"*",0
"Ansonia School District","=""0020011""",0,792,"*",33,"*",42,40,9,"*",7
"Area Cooperative Educational Services","=""2440014""","*",454,10,92,23,199,199,31,18,17
"Ashford School District","=""0030011""","*","*","*","*","*","*","*","*",0,0
"Avon School District","=""0040011""","*",32,"*",17,8,26,17,0,"*",9
"Barkhamsted School District","=""0050011""",0,0,0,0,0,0,"*",0,0,0
"Berlin School District","=""0070011""","*",635,7,27,10,23,22,"*","*",44
"Bethany School District","=""0080011""",0,0,"*","*",0,0,0,"*",0,0
"Bethel School District","=""0090011""",0,349,9,35,7,25,34,7,8,11
"Bloomfield School District","=""0110011""","*",496,18,34,17,193,86,"*",8,12
"Bolton School District","=""0120011""",0,8,"*",11,"*","*",7,"*","*",0
"Bozrah School District","=""0130011""",0,0,0,"*",0,0,0,0,0,0
"Branford School District","=""0140011""","*",354,7,30,25,43,30,"*","*",44
"Bridgeport Achievement First District","=""2850013""",0,20,0,"*","*",20,6,0,0,0
"Bridgeport School District","=""0150011""",11,5483,148,837,141,798,2589,149,101,90
"Bridgeport School District","=""1420011""",11,5483,148,837,141,798,2589,149,101,90
"Bristol School District","=""0170011""",9,735,13,71,19,74,129,"*",11,43
"Brookfield School District","=""0180011""",0,33,"*","*","*",8,21,0,0,10
"Brooklyn School District","=""0190011""",7,40,16,38,12,78,11,7,"*","*"
"Canterbury School District","=""0220011""","*",14,"*","*",0,13,"*",0,"*",0
"Canton School District","=""0230011""",0,22,"*",7,"*","*",10,"*","*","*"
"Capitol Region Education Council","=""2410014""",6,572,33,131,33,219,274,21,8,20
"Chaplin School District","=""0240011""",0,0,"*","*",0,0,0,"*",0,0
"Cheshire School District","=""0250011""",9,249,11,61,14,24,31,11,"*",40
"Chester School District","=""0260011""",0,0,0,"*",0,0,15,"*","*",0
"Clinton School District","=""0270011""",0,255,"*",13,"*",11,9,"*","*",14
"Colchester School District","=""0280011""",0,293,"*",19,18,24,42,"*",0,34
"Colebrook School District","=""0290011""","*",0,0,"*",0,"*",0,0,0,0
"Columbia School District","=""0300011""","*","*",0,"*",0,0,7,0,"*",0
"Common Ground High School District","=""2680013""",0,15,"*","*",0,"*","*","*",0,0
"Connecticut Technical High School System","=""9000016""",44,3714,111,439,117,404,318,86,53,201
"Cooperative Educational Services","=""2430014""","*",65,"*",20,0,47,25,11,"*","*"
"Cornwall School District","=""0310011""",0,8,0,0,0,"*","*",0,0,0
"Coventry School District","=""0320011""",0,560,11,54,8,35,50,28,"*",24
"Cromwell School District","=""0330011""","*",498,0,17,15,28,17,"*","*",32
"Danbury School District","=""0340011""",15,2172,7,108,50,90,226,18,17,99
"Darien School District","=""0350011""","*",39,"*",12,"*",14,6,"*","*",8
"Deep River School District","=""0360011""",0,"*",0,0,0,"*","*",0,0,0
"Derby School District","=""0370011""",7,388,"*",34,"*",55,49,"*","*",9
"East Granby School District","=""0400011""",0,34,"*","*","*",9,8,"*","*","*"
"East Haddam School District","=""0410011""",0,35,"*",11,"*",7,7,"*","*",6
"East Hampton School District","=""0420011""",7,167,0,8,"*","*",20,"*","*","*"
"East Hartford School District","=""0430011""","*",4389,36,292,82,773,270,42,23,54
"East Haven School District","=""0440011""",18,772,22,54,22,51,71,7,"*",24
"East Lyme School District","=""0450011""","*",57,"*",32,9,33,40,7,"*",13
"East Windsor School District","=""0470011""","*",208,"*",27,"*",43,52,"*","*",11
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*",23,0,15,"*","*",7,"*",0,0
"Eastford School District","=""0390011""",0,"*",0,"*",0,0,0,0,0,0
"Easton School District","=""0460011""",0,0,"*",6,0,"*","*",0,"*",0
"Education Connection","=""2420014""",0,"*",0,"*",0,"*","*","*","*","*"
