"Incident Counts, 2016-17"
"All Districts"

"",,"Incident Type",,,,,,,,,
"District","District Code","Violent Crimes Against Persons","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco","School Policy Violations"
"Achievement First Hartford Academy Inc. District","=""2880013""","*",8,21,6,146,139,6,"*",0,1342
"Amistad Academy District","=""2790013""",0,"*",10,"*",260,27,10,"*","*",567
"Andover School District","=""0010011""",0,0,"*",0,0,0,0,0,0,0
"Ansonia School District","=""0020011""","*",0,42,"*",35,63,"*",6,"*",422
"Area Cooperative Educational Services","=""2440014""",6,13,76,"*",141,164,12,9,20,119
"Ashford School District","=""0030011""","*",0,0,0,"*","*",0,0,0,"*"
"Avon School District","=""0040011""",0,"*",9,"*",16,11,0,0,12,40
"Barkhamsted School District","=""0050011""",0,"*",0,0,"*",0,0,0,0,"*"
"Berlin School District","=""0070011""",0,"*",23,"*",17,50,"*","*",11,63
"Bethany School District","=""0080011""",0,0,0,0,6,"*","*",0,0,0
"Bethel School District","=""0090011""","*",11,70,"*",47,43,11,"*",15,245
"Bloomfield School District","=""0110011""","*",11,25,8,137,112,"*",9,7,215
"Bolton School District","=""0120011""","*","*","*","*","*",8,"*","*",7,33
"Booker T. Washington Academy District","=""2950013""",0,0,"*",0,31,"*",0,0,0,"*"
"Bozrah School District","=""0130011""",0,0,0,0,0,0,"*",0,0,"*"
"Branford School District","=""0140011""","*","*",20,"*",43,16,"*",0,33,204
"Brass City Charter School District","=""2900013""",0,0,0,0,"*","*",0,0,0,0
"Bridgeport Achievement First District","=""2850013""",0,"*","*","*",161,59,0,"*","*",490
"Bridgeport School District","=""0150011""",63,81,484,173,2050,2851,189,86,76,4783
"Bristol School District","=""0170011""",9,20,166,34,114,333,11,13,19,747
"Brookfield School District","=""0180011""",0,"*",15,"*","*",41,0,"*",30,45
"Brooklyn School District","=""0190011""","*",9,18,10,44,19,"*","*",0,15
"Canaan School District","=""0210011""",0,0,0,0,0,0,0,0,0,"*"
"Canterbury School District","=""0220011""",0,0,"*",0,"*","*",0,0,"*",14
"Canton School District","=""0230011""",0,"*",10,"*","*",11,"*","*",6,41
"Capital Preparatory Harbor School Inc. District","=""2970013""",0,"*",10,"*",9,14,"*","*","*",98
"Capitol Region Education Council","=""2410014""","*",24,103,36,23,377,35,12,33,1251
"Chaplin School District","=""0240011""",0,0,0,0,"*","*","*",0,0,"*"
"Cheshire School District","=""0250011""","*",10,36,7,56,44,"*","*",47,149
"Chester School District","=""0260011""",0,0,"*",0,0,0,0,0,0,"*"
"Clinton School District","=""0270011""","*",0,25,6,13,12,0,"*","*",79
"Colchester School District","=""0280011""","*","*",16,9,"*",13,"*",6,14,138
"Colebrook School District","=""0290011""","*",0,"*",0,"*",0,"*",0,0,"*"
"Columbia School District","=""0300011""","*",0,"*",0,"*",6,"*",0,"*",7
"Common Ground High School District","=""2680013""",0,12,9,0,9,7,0,"*","*",7
"Connecticut Technical High School System","=""9000016""",14,48,188,39,217,208,43,22,142,1216
"Cooperative Educational Services","=""2430014""",0,"*",8,"*",11,7,"*","*","*",26
"Cornwall School District","=""0310011""",0,0,"*",0,0,0,"*",0,0,"*"
"Coventry School District","=""0320011""","*",0,11,"*",19,17,"*","*",0,34
"Cromwell School District","=""0330011""","*","*",24,"*",12,37,12,"*","*",123
"Danbury School District","=""0340011""",13,25,99,23,115,186,20,20,67,1660
"Darien School District","=""0350011""",0,0,6,8,8,"*","*",0,16,12
"Deep River School District","=""0360011""",0,0,0,0,0,6,0,0,0,"*"
"Derby School District","=""0370011""","*","*",24,7,46,59,12,6,"*",147
"East Granby School District","=""0400011""",0,"*",17,"*",7,9,"*",0,0,36
"East Haddam School District","=""0410011""",0,0,"*",0,"*",7,"*",0,12,36
"East Hampton School District","=""0420011""","*",0,16,"*",9,12,"*","*",18,47
"East Hartford School District","=""0430011""","*",24,204,73,949,97,63,8,16,1799
"East Haven School District","=""0440011""",8,9,67,7,33,73,16,"*",31,459
"East Lyme School District","=""0450011""","*",0,8,8,40,50,"*","*",19,49
"East Windsor School District","=""0470011""",0,6,26,12,30,33,12,11,16,138
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*","*",7,"*",7,21,"*","*",8,25
"Eastford School District","=""0390011""",0,0,"*","*","*","*",0,0,0,"*"
"Easton School District","=""0460011""",0,"*","*","*","*","*","*",0,0,"*"
"EdAdvance","=""2420014""",0,0,"*",0,"*","*","*",0,0,0
"Ellington School District","=""0480011""",0,"*",27,"*",52,12,10,"*",36,182
"Elm City College Preparatory School District","=""2890013""",0,0,"*","*",70,12,"*",0,"*",209
"Elm City Montessori School District","=""2910013""",0,0,"*",0,"*",19,"*",0,0,"*"
"Enfield School District","=""0490011""",0,"*",31,13,97,65,17,10,31,716
"Essex School District","=""0500011""",0,0,0,0,0,"*",0,0,0,0
"Explorations District","=""2720013""","*",0,0,0,0,0,0,0,9,9
"Fairfield School District","=""0510011""","*","*",29,25,43,8,15,"*",109,183
"Farmington School District","=""0520011""","*","*",12,0,10,11,0,"*",15,18
"Franklin School District","=""0530011""",0,0,7,0,"*","*",0,0,0,"*"
"Glastonbury School District","=""0540011""",0,6,24,"*",17,14,"*","*",43,88
"Granby School District","=""0560011""","*","*",20,7,14,14,0,"*",6,59
"Great Oaks Charter School District","=""2940013""","*","*",12,"*",76,103,"*",0,0,198
"Greenwich School District","=""0570011""","*","*",20,17,34,34,13,7,106,80
"Griswold School District","=""0580011""","*",0,29,"*",39,8,"*","*","*",85
"Groton School District","=""0590011""",0,"*",66,14,108,38,11,8,12,551
"Guilford School District","=""0600011""",0,0,12,"*",8,"*",6,"*","*",42
"Hamden School District","=""0620011""","*",8,49,18,231,164,"*",14,6,653
"Hampton School District","=""0630011""",0,0,0,0,0,0,0,0,0,"*"
"Hartford School District","=""0640011""",58,174,722,194,1819,2919,204,94,100,3854
"Hartland School District","=""0650011""",0,0,"*",0,"*","*",0,0,0,6
"Hebron School District","=""0670011""",0,0,"*","*","*",9,0,"*",0,"*"
"Highville Charter School District","=""2860013""",0,"*","*",0,52,52,"*",0,"*",53
"Integrated Day Charter School District","=""2640013""",0,0,"*",0,"*","*",0,"*",0,"*"
"Interdistrict School for Arts and Comm District","=""2650013""",0,"*","*",0,9,25,"*",0,0,25
"Jumoke Academy District","=""2610013""","*","*",25,"*",8,93,"*",0,0,59
"Kent School District","=""0680011""","*",0,0,0,0,0,0,0,0,"*"
"Killingly School District","=""0690011""",0,17,21,8,21,57,7,"*",34,335
"Learn","=""2450014""","*",7,27,"*",16,146,"*",8,32,182
"Lebanon School District","=""0710011""",0,"*","*",0,"*",7,"*","*",6,20
"Ledyard School District","=""0720011""","*",7,20,"*",22,61,"*",6,13,95
"Lisbon School District","=""0730011""",0,0,0,0,"*","*",0,0,0,"*"
"Litchfield School District","=""0740011""",0,0,"*",0,7,"*","*","*",9,27
"Madison School District","=""0760011""",0,"*","*","*",8,0,"*",0,13,69
"Manchester School District","=""0770011""","*",18,260,40,491,406,66,17,29,805
"Mansfield School District","=""0780011""",0,0,"*",0,0,"*",0,"*",0,42
"Marlborough School District","=""0790011""",0,0,"*",0,0,0,0,0,0,"*"
"Meriden School District","=""0800011""","*",15,94,22,203,97,26,37,38,693
"Middletown School District","=""0830011""","*",13,59,9,138,131,9,15,13,380
"Milford School District","=""0840011""","*",9,44,17,33,18,9,"*",69,502
"Monroe School District","=""0850011""",0,0,21,"*",24,10,"*",0,"*",41
"Montville School District","=""0860011""",0,"*",38,"*",36,28,6,"*",10,60
"Naugatuck School District","=""0880011""","*",11,71,24,109,84,8,7,24,383
"New Beginnings Inc Family Academy District","=""2800013""",0,0,0,0,"*",8,0,0,0,"*"
"New Britain School District","=""0890011""","*",80,444,88,1400,738,114,48,64,2591
"New Canaan School District","=""0900011""",0,"*",10,"*",0,6,"*",0,15,12
"New Fairfield School District","=""0910011""",0,"*","*",8,12,7,"*","*",12,129
"New Hartford School District","=""0920011""",0,0,0,0,"*",0,0,0,0,"*"
"New Haven School District","=""0930011""",7,66,246,58,479,878,12,20,45,848
"New London School District","=""0950011""","*",32,112,30,528,283,22,18,12,586
"New Milford School District","=""0960011""",0,"*",48,8,23,40,6,8,47,353
"Newington School District","=""0940011""",0,"*",28,10,14,34,8,"*","*",288
"Newtown School District","=""0970011""","*",7,14,"*",17,21,"*","*",58,109
"Norfolk School District","=""0980011""",0,0,0,0,"*","*",0,0,0,"*"
"North Branford School District","=""0990011""","*",6,18,"*",13,8,"*",7,11,111
"North Canaan School District","=""1000011""",0,0,0,"*","*","*",0,0,0,"*"
"North Haven School District","=""1010011""",0,"*",26,"*",45,"*","*","*",8,106
"North Stonington School District","=""1020011""",0,"*",6,"*","*",9,"*","*","*",21
"Norwalk School District","=""1030011""",9,8,97,32,95,162,13,20,91,894
"Norwich Free Academy District","=""9010022""","*",22,34,18,27,33,8,"*",27,540
"Norwich School District","=""1040011""","*",8,21,9,106,102,"*",23,6,350
"Odyssey Community School District","=""2630013""",0,0,"*","*","*",8,"*",0,0,8
"Old Saybrook School District","=""1060011""","*",0,8,0,7,7,"*","*",15,25
"Orange School District","=""1070011""",0,0,0,"*",0,"*",0,"*","*",6
"Oxford School District","=""1080011""",0,0,8,"*",9,12,"*",0,21,36
"Park City Prep Charter School District","=""2830013""",0,"*",15,"*",11,21,"*",0,0,39
"Path Academy District","=""2930013""",0,0,8,"*","*","*","*",0,"*",34
"Plainfield School District","=""1090011""","*",8,29,12,62,19,16,"*",11,269
"Plainville School District","=""1100011""","*",10,24,"*",51,42,"*",0,12,154
"Plymouth School District","=""1110011""",0,9,15,"*",8,35,"*","*",11,106
"Pomfret School District","=""1120011""",0,"*","*",0,"*","*",0,"*",0,"*"
"Portland School District","=""1130011""",0,"*","*",7,14,25,0,"*","*",43
"Preston School District","=""1140011""",0,"*","*","*","*","*",0,"*",0,"*"
"Putnam School District","=""1160011""",0,"*",19,"*",24,21,0,"*",13,50
"Redding School District","=""1170011""",0,0,7,0,19,6,0,"*",0,6
"Regional School District 01","=""2010012""",0,0,6,0,"*","*",0,"*",8,36
"Regional School District 04","=""2040012""",0,"*","*","*",8,7,"*","*",10,27
"Regional School District 05","=""2050012""",0,0,"*","*",10,22,"*",0,28,45
"Regional School District 06","=""2060012""",0,"*",7,"*","*",9,0,"*","*",20
"Regional School District 07","=""2070012""",0,"*",15,7,10,"*",0,0,9,19
"Regional School District 08","=""2080012""","*","*",22,"*",8,20,"*","*",49,64
"Regional School District 09","=""2090012""",0,0,"*","*","*","*","*","*",39,"*"
"Regional School District 10","=""2100012""",0,"*",12,0,12,17,"*",0,9,38
"Regional School District 11","=""2110012""",0,"*",24,0,7,"*",0,"*",0,25
"Regional School District 12","=""2120012""",0,0,"*","*","*",13,"*","*","*",15
"Regional School District 13","=""2130012""",0,"*","*","*","*",6,"*",0,7,35
"Regional School District 14","=""2140012""","*","*",7,"*","*","*",0,6,"*",37
"Regional School District 15","=""2150012""",0,"*",14,"*","*",23,"*",0,35,91
"Regional School District 16","=""2160012""","*","*",11,"*",7,18,"*","*",25,142
"Regional School District 17","=""2170012""","*","*",28,"*",12,19,"*","*",15,92
"Regional School District 18","=""2180012""","*",7,15,6,"*","*",11,0,11,30
"Regional School District 19","=""2190012""",0,"*",11,6,"*","*",0,"*",6,34
"Ridgefield School District","=""1180011""","*","*",25,7,9,9,"*","*",36,52
"Rocky Hill School District","=""1190011""",0,"*",7,7,"*",11,"*","*","*",55
"Salem School District","=""1210011""",0,"*","*",0,"*","*","*","*","*","*"
"Salisbury School District","=""1220011""",0,0,0,0,"*","*",0,0,"*","*"
"Scotland School District","=""1230011""",0,0,"*",0,0,"*",0,0,0,"*"
