"Incident Counts, 2015-16"
"All Districts"

"",,"Incident Type",,,,,,,,,
"District","District Code","Violent Crimes Against Persons","School Policy Violations","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco"
"Achievement First Hartford Academy Inc. District","=""2880013""",0,923,8,26,"*",158,480,"*","*",7
"Amistad Academy District","=""2790013""","*",588,10,25,15,212,9,"*","*",7
"Andover School District","=""0010011""",0,0,0,"*","*",0,0,0,0,0
"Ansonia School District","=""0020011""","*",202,"*",38,"*",42,65,"*","*",6
"Area Cooperative Educational Services","=""2440014""","*",123,10,58,"*",132,153,29,"*","*"
"Ashford School District","=""0030011""",0,"*",0,"*",0,0,9,"*","*",0
"Avon School District","=""0040011""",0,35,"*",16,"*",16,16,"*","*",10
"Berlin School District","=""0070011""","*",72,"*",22,0,26,18,"*","*","*"
"Bethany School District","=""0080011""","*",0,0,"*",0,"*",6,0,0,0
"Bethel School District","=""0090011""","*",260,15,62,13,52,45,8,6,11
"Bloomfield School District","=""0110011""","*",282,6,46,14,133,89,0,7,6
"Bolton School District","=""0120011""",0,37,"*",6,6,7,8,0,0,"*"
"Booker T. Washington Academy District","=""2950013""","*",9,0,"*",0,46,"*",0,0,0
"Bozrah School District","=""0130011""",0,"*",0,"*",0,0,"*",0,0,0
"Branford School District","=""0140011""","*",220,"*",19,10,46,20,9,"*",20
"Brass City Charter School District","=""2900013""",0,"*",0,0,0,"*","*",0,0,0
"Bridgeport Achievement First District","=""2850013""","*",584,"*",18,9,148,68,"*",8,8
"Bridgeport School District","=""0150011""",64,5014,79,534,160,2001,2938,157,91,61
"Bristol School District","=""0170011""",10,833,17,155,47,138,325,13,18,27
"Brookfield School District","=""0180011""","*",42,7,10,"*",10,17,0,"*",23
"Brooklyn School District","=""0190011""","*",71,14,31,"*",68,9,"*","*","*"
"Canaan School District","=""0210011""",0,0,0,"*",0,0,"*",0,0,0
"Canterbury School District","=""0220011""",0,"*",0,"*",0,"*",6,0,0,0
"Canton School District","=""0230011""",0,23,0,10,"*","*",23,"*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","*",50,0,"*","*",26,9,"*","*",0
"Capitol Region Education Council","=""2410014""","*",1418,23,114,49,265,190,19,14,39
"Chaplin School District","=""0240011""",0,0,0,"*",0,0,0,0,0,0
"Cheshire School District","=""0250011""","*",162,"*",28,17,24,51,6,"*",53
"Clinton School District","=""0270011""",0,89,"*","*","*",6,12,"*","*",6
"Colchester School District","=""0280011""","*",95,0,15,"*",6,20,0,"*",15
"Colebrook School District","=""0290011""",0,"*",0,0,0,0,0,0,0,0
"Columbia School District","=""0300011""",0,7,0,0,0,"*","*",0,0,0
"Common Ground High School District","=""2680013""","*","*","*","*",0,"*","*",0,"*","*"
"Connecticut Technical High School System","=""9000016""",26,1496,38,204,50,276,278,28,25,146
"Cooperative Educational Services","=""2430014""",0,26,0,12,0,29,9,"*","*","*"
"Cornwall School District","=""0310011""",0,0,0,"*",0,"*",7,0,0,0
"Coventry School District","=""0320011""","*",25,"*",6,"*",17,17,"*","*",8
"Cromwell School District","=""0330011""","*",147,"*",28,"*",12,53,"*","*",9
"Danbury School District","=""0340011""","*",1603,11,96,12,45,163,14,11,49
"Darien School District","=""0350011""",0,20,"*","*","*","*","*",0,"*",17
"Deep River School District","=""0360011""",0,"*",0,"*",0,"*","*",0,0,0
"Derby School District","=""0370011""","*",139,"*",28,6,25,99,"*","*","*"
"East Granby School District","=""0400011""",0,54,0,23,"*",11,"*",0,0,"*"
"East Haddam School District","=""0410011""","*",13,"*","*",0,"*",0,0,"*","*"
"East Hampton School District","=""0420011""","*",52,"*",17,"*",6,26,"*",0,"*"
