"Incident Counts, Trend"
"All Districts"

"",,,"Year",,,,
"District","District Code","Incident Type","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","Violent Crimes Against Persons","*",10,"*",0,0
"Achievement First Hartford Academy Inc. District","=""2880013""","School Policy Violations",1606,2626,888,714,923
"Achievement First Hartford Academy Inc. District","=""2880013""","Sexually Related Behavior",9,"*",15,17,"*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Personally Threatening Behavior",45,17,37,55,26
"Achievement First Hartford Academy Inc. District","=""2880013""","Theft Related Behaviors",10,9,"*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Physical and Verbal Confrontation",81,223,160,210,158
"Achievement First Hartford Academy Inc. District","=""2880013""","Fighting and Battery",37,45,30,76,480
"Achievement First Hartford Academy Inc. District","=""2880013""","Property Damage",10,24,"*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Weapons","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Drugs, Alcohol, Tobacco",0,"*","*","*",7
"Amistad Academy District","=""2790013""","Violent Crimes Against Persons","*","*","*",0,"*"
"Amistad Academy District","=""2790013""","School Policy Violations",369,1520,1523,1024,588
"Amistad Academy District","=""2790013""","Sexually Related Behavior",8,"*","*","*",10
"Amistad Academy District","=""2790013""","Personally Threatening Behavior",21,31,56,40,25
"Amistad Academy District","=""2790013""","Theft Related Behaviors",8,15,14,13,15
"Amistad Academy District","=""2790013""","Physical and Verbal Confrontation",64,134,181,201,212
"Amistad Academy District","=""2790013""","Fighting and Battery",16,"*",86,47,"*"
"Amistad Academy District","=""2790013""","Property Damage",0,9,"*","*","*"
"Amistad Academy District","=""2790013""","Weapons","*","*",7,0,"*"
"Amistad Academy District","=""2790013""","Drugs, Alcohol, Tobacco","*",0,"*",0,7
"Andover School District","=""0010011""","Violent Crimes Against Persons",0,0,0,0,0
"Andover School District","=""0010011""","School Policy Violations",0,"*",0,0,0
"Andover School District","=""0010011""","Sexually Related Behavior",0,"*",0,"*",0
"Andover School District","=""0010011""","Personally Threatening Behavior","*","*",0,"*","*"
"Andover School District","=""0010011""","Theft Related Behaviors","*",0,"*",0,"*"
"Andover School District","=""0010011""","Physical and Verbal Confrontation",0,"*","*",0,0
"Andover School District","=""0010011""","Fighting and Battery",0,"*","*",0,0
"Andover School District","=""0010011""","Property Damage",0,0,0,0,0
"Andover School District","=""0010011""","Weapons",0,0,0,0,0
"Andover School District","=""0010011""","Drugs, Alcohol, Tobacco",0,0,0,0,0
"Ansonia School District","=""0020011""","Violent Crimes Against Persons",0,6,0,"*","*"
"Ansonia School District","=""0020011""","School Policy Violations",558,472,378,168,202
"Ansonia School District","=""0020011""","Sexually Related Behavior","*",0,"*",7,"*"
"Ansonia School District","=""0020011""","Personally Threatening Behavior",18,22,30,26,38
"Ansonia School District","=""0020011""","Theft Related Behaviors","*","*","*","*","*"
"Ansonia School District","=""0020011""","Physical and Verbal Confrontation",35,29,19,15,42
"Ansonia School District","=""0020011""","Fighting and Battery",29,88,62,59,65
"Ansonia School District","=""0020011""","Property Damage","*",10,12,13,"*"
"Ansonia School District","=""0020011""","Weapons",10,6,6,"*","*"
"Ansonia School District","=""0020011""","Drugs, Alcohol, Tobacco","*",16,19,6,"*"
"Area Cooperative Educational Services","=""2440014""","Violent Crimes Against Persons","*",0,"*","*","*"
"Area Cooperative Educational Services","=""2440014""","School Policy Violations",153,178,160,176,123
"Area Cooperative Educational Services","=""2440014""","Sexually Related Behavior",8,14,9,11,10
"Area Cooperative Educational Services","=""2440014""","Personally Threatening Behavior",56,69,76,95,58
"Area Cooperative Educational Services","=""2440014""","Theft Related Behaviors",9,"*",11,7,"*"
