"Incident Counts, 2014-15"
"All Districts"

"",,"Incident Type",,,,,,,,,
"District","District Code","Violent Crimes Against Persons","School Policy Violations","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco"
"Achievement First Hartford Academy Inc. District","=""2880013""",0,714,17,55,"*",210,76,"*","*","*"
"Amistad Academy District","=""2790013""",0,1024,"*",40,13,201,47,"*",0,0
"Andover School District","=""0010011""",0,0,"*","*",0,0,0,0,0,0
"Ansonia School District","=""0020011""","*",168,7,26,"*",15,59,13,"*",6
"Area Cooperative Educational Services","=""2440014""","*",176,11,95,7,151,155,7,"*",7
"Ashford School District","=""0030011""",0,11,"*","*",0,13,8,0,"*","*"
"Avon School District","=""0040011""","*",35,0,7,7,18,16,"*","*",6
"Barkhamsted School District","=""0050011""",0,7,0,0,0,0,"*",0,0,0
"Berlin School District","=""0070011""","*",84,"*",18,12,23,29,"*",0,14
"Bethany School District","=""0080011""",0,"*",0,"*",0,8,"*","*",0,0
"Bethel School District","=""0090011""",0,324,16,43,17,30,27,8,8,22
"Bloomfield School District","=""0110011""","*",280,7,25,18,125,89,"*",8,11
"Bolton School District","=""0120011""","*",42,"*",10,"*",12,14,"*","*",8
"Booker T. Washington Academy District","=""2950013""",0,22,0,"*",0,30,23,"*",0,0
"Bozrah School District","=""0130011""",0,"*","*",0,0,0,"*",0,0,0
"Branford School District","=""0140011""","*",286,"*",25,8,38,12,"*","*",32
"Brass City Charter School District","=""2900013""",0,"*",0,0,0,"*",17,0,0,0
"Bridgeport Achievement First District","=""2850013""","*",1220,"*",12,19,231,180,"*","*","*"
"Bridgeport School District","=""0150011""",48,5283,103,548,153,1758,2331,130,70,107
"Bristol School District","=""0170011""",11,920,31,161,34,137,247,15,14,61
"Brookfield School District","=""0180011""",0,57,6,15,"*","*",16,0,0,36
"Brooklyn School District","=""0190011""",0,58,7,10,"*",28,"*","*",0,"*"
"Canaan School District","=""0210011""",0,0,"*","*",0,0,0,0,0,0
"Canterbury School District","=""0220011""",0,8,0,7,"*","*","*",0,0,0
"Canton School District","=""0230011""",0,9,0,8,"*","*","*","*",0,"*"
"Capitol Region Education Council","=""2410014""",6,1104,18,78,47,82,403,22,20,40
"Cheshire School District","=""0250011""","*",102,8,45,7,15,34,"*","*",98
"Chester School District","=""0260011""",0,"*",0,"*",0,"*",0,0,0,0
"Clinton School District","=""0270011""",0,142,"*",14,"*",13,9,0,0,18
"Colchester School District","=""0280011""",0,146,0,23,9,9,28,6,9,26
"Colebrook School District","=""0290011""",0,"*",0,0,"*","*",0,0,0,0
"Columbia School District","=""0300011""",0,17,"*","*","*",14,10,0,"*",0
"Common Ground High School District","=""2680013""",0,9,0,"*",0,"*","*",0,0,"*"
"Connecticut Technical High School System","=""9000016""",22,1631,66,262,59,320,237,38,50,240
"Cooperative Educational Services","=""2430014""","*",30,0,"*","*",31,14,"*","*","*"
"Cornwall School District","=""0310011""",0,"*",0,"*",0,0,0,0,0,0
"Coventry School District","=""0320011""",0,67,"*",7,"*",13,9,"*","*","*"
"Cromwell School District","=""0330011""",0,172,6,41,6,9,33,7,"*",13
"Danbury School District","=""0340011""",10,2401,14,132,24,75,191,11,12,62
"Darien School District","=""0350011""",0,18,0,7,"*",10,"*",0,"*",22
"Deep River School District","=""0360011""",0,"*",0,"*",0,"*","*",0,0,0
"Derby School District","=""0370011""","*",325,0,27,"*",61,72,"*",10,8
"East Granby School District","=""0400011""",0,29,"*",13,"*","*",6,0,"*","*"
"East Haddam School District","=""0410011""","*",7,"*","*","*",6,6,"*",0,"*"
"East Hampton School District","=""0420011""","*",28,"*",13,"*",8,13,"*","*",9
"East Hartford School District","=""0430011""",7,2923,185,259,73,935,80,52,16,19
"East Haven School District","=""0440011""",9,243,17,38,"*",19,29,12,"*",28
"East Lyme School District","=""0450011""","*",110,9,16,"*",17,41,6,0,6
"East Windsor School District","=""0470011""",0,69,"*",16,"*","*",52,"*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,73,"*","*","*","*",15,"*","*",15
"Eastford School District","=""0390011""",0,0,"*","*",0,0,"*",0,0,0
"Easton School District","=""0460011""",0,"*",0,"*","*","*","*",0,"*",0
"Education Connection","=""2420014""",0,13,"*",13,"*",9,11,0,0,"*"
"Ellington School District","=""0480011""","*",157,"*","*",10,59,16,"*","*","*"
"Elm City College Preparatory School District","=""2890013""",0,278,"*","*","*",32,0,0,"*","*"
"Enfield School District","=""0490011""","*",817,"*",42,9,95,73,10,7,41
"Essex School District","=""0500011""",0,0,0,"*",0,0,0,0,0,0
"Explorations District","=""2720013""","*",13,0,"*",0,0,0,0,0,"*"
"Fairfield School District","=""0510011""",0,120,7,25,11,28,30,"*","*",39
"Farmington School District","=""0520011""","*",19,"*",9,"*",11,19,"*",8,7
"Franklin School District","=""0530011""",0,"*",0,0,"*","*","*",0,0,0
"Glastonbury School District","=""0540011""",0,80,"*",25,"*",13,11,"*","*",19
"Granby School District","=""0560011""",0,34,"*",7,"*",29,7,"*","*",7
"Great Oaks Charter School District","=""2940013""",0,61,7,7,0,66,11,"*","*",0
"Greenwich School District","=""0570011""","*",76,"*",36,11,18,42,8,7,59
"Griswold School District","=""0580011""",0,239,"*",21,9,25,12,"*",6,7
"Groton School District","=""0590011""","*",634,6,83,18,119,46,"*",9,10
"Guilford School District","=""0600011""",0,58,"*",18,"*",11,14,"*","*","*"
"Hamden School District","=""0620011""",12,531,8,74,24,175,170,16,12,15
"Hartford School District","=""0640011""",80,4803,90,505,159,938,2279,177,109,128
"Hartland School District","=""0650011""",0,"*",0,"*",0,0,0,0,0,0
"Hebron School District","=""0670011""",0,"*",0,"*",0,"*","*",0,0,0
"Highville Charter School District","=""2860013""","*",7,0,0,0,10,12,0,0,0
"Integrated Day Charter School District","=""2640013""",0,"*",0,0,0,0,0,0,0,0
"Interdistrict School for Arts and Comm District","=""2650013""","*",45,"*",21,"*",19,20,0,"*",0
"Jumoke Academy District","=""2610013""",0,105,0,"*","*",7,51,"*","*",0
"Killingly School District","=""0690011""",16,335,17,33,10,52,22,9,"*",27
"Learn","=""2450014""","*",63,7,20,7,20,55,0,6,9
"Lebanon School District","=""0710011""",0,19,0,"*","*","*",7,0,"*",12
"Ledyard School District","=""0720011""",6,97,11,15,"*",36,37,"*","*",12
"Lisbon School District","=""0730011""",0,"*",0,"*",0,0,7,0,0,0
"Litchfield School District","=""0740011""","*",48,"*",14,0,11,9,6,"*","*"
"Madison School District","=""0760011""",0,75,"*","*","*",15,8,"*","*",15
"Manchester School District","=""0770011""",21,658,12,147,23,265,113,13,12,27
"Mansfield School District","=""0780011""",0,32,"*","*","*","*","*",0,"*",0
"Marlborough School District","=""0790011""",0,"*",0,"*",0,0,0,0,0,0
"Meriden School District","=""0800011""","*",1607,13,120,36,162,48,15,38,56
"Middletown School District","=""0830011""",8,404,6,53,24,149,122,"*",11,21
"Milford School District","=""0840011""","*",558,12,43,7,44,33,7,0,36
"Monroe School District","=""0850011""",0,44,"*","*","*",6,"*",0,"*",16
"Montville School District","=""0860011""","*",83,0,24,"*",26,43,"*","*",12
"Naugatuck School District","=""0880011""","*",434,8,50,20,95,84,8,8,68
"New Beginnings Inc., Family Academy District","=""2800013""",0,32,0,0,"*",21,48,"*",0,0
"New Britain School District","=""0890011""",7,3428,45,291,60,842,531,60,34,40
"New Canaan School District","=""0900011""","*","*","*","*",0,"*","*",0,"*",9
"New Fairfield School District","=""0910011""",0,160,"*","*","*",37,8,"*","*",11
"New Hartford School District","=""0920011""","*","*",0,"*",0,"*","*",0,0,0
"New Haven School District","=""0930011""",23,1093,70,311,64,621,1364,24,63,61
"New London School District","=""0950011""","*",1259,20,120,28,433,127,27,20,22
"New Milford School District","=""0960011""",0,686,10,51,13,22,49,9,7,41
"Newington School District","=""0940011""",0,340,6,28,18,15,38,6,"*",11
"Newtown School District","=""0970011""","*",112,"*",14,7,13,25,"*","*",28
"Norfolk School District","=""0980011""","*","*",0,"*","*",0,0,0,0,0
"North Branford School District","=""0990011""",0,250,7,19,8,15,18,"*","*",21
"North Canaan School District","=""1000011""",0,"*","*","*",6,21,18,"*",0,"*"
"North Haven School District","=""1010011""","*",102,0,17,"*",28,11,"*",0,16
"North Stonington School District","=""1020011""",0,19,"*",8,"*","*",6,"*","*",7
"Norwalk School District","=""1030011""",26,649,18,78,27,72,104,9,14,48
"Norwich Free Academy District","=""9010022""","*",523,16,54,28,17,21,"*",11,36
"Norwich School District","=""1040011""",0,180,7,25,11,83,91,"*",25,8
"Odyssey Community School District","=""2630013""","*",10,"*","*",0,"*",9,0,0,0
"Old Saybrook School District","=""1060011""",0,44,6,9,0,6,"*",0,0,13
"Orange School District","=""1070011""",0,"*",0,"*","*","*","*",0,0,0
"Oxford School District","=""1080011""","*",19,0,7,"*",6,10,0,"*",6
"Park City Prep Charter School District","=""2830013""",0,47,0,"*","*",34,23,"*",0,0
"Path Academy District","=""2930013""",0,31,0,7,"*",38,0,16,0,"*"
"Plainfield School District","=""1090011""",0,462,14,43,6,64,11,12,"*",22
"Plainville School District","=""1100011""","*",132,"*",11,"*",25,16,"*","*",8
"Plymouth School District","=""1110011""","*",66,"*",6,0,15,17,"*","*","*"
"Pomfret School District","=""1120011""",0,"*","*","*",0,"*",6,0,0,0
"Portland School District","=""1130011""",0,50,"*","*","*","*",10,"*","*",10
"Preston School District","=""1140011""",0,0,0,"*",0,"*",17,0,0,0
"Putnam School District","=""1160011""","*",57,0,24,"*",33,35,"*","*",9
"Redding School District","=""1170011""",0,0,"*",0,0,"*",9,0,"*",0
"Regional School District 01","=""2010012""","*",111,0,"*","*",0,19,0,"*",15
"Regional School District 04","=""2040012""",0,26,0,"*",0,"*","*",0,0,"*"
"Regional School District 05","=""2050012""","*",65,0,6,0,"*",11,0,0,14
"Regional School District 06","=""2060012""",0,31,"*",7,"*",9,10,"*",0,9
"Regional School District 07","=""2070012""","*",58,"*",7,"*",9,11,"*","*",30
"Regional School District 08","=""2080012""","*",103,"*",9,6,6,8,6,"*",25
"Regional School District 09","=""2090012""",0,"*",0,"*","*","*","*","*","*",14
"Regional School District 10","=""2100012""",0,64,7,14,"*",9,10,0,"*",14
"Regional School District 11","=""2110012""",0,43,"*",8,0,"*",9,"*",0,7
"Regional School District 12","=""2120012""",0,16,0,"*","*",10,12,0,"*",8
"Regional School District 13","=""2130012""","*",46,0,"*","*","*","*",0,"*",13
"Regional School District 14","=""2140012""",0,8,"*",0,0,8,9,"*","*",7
"Regional School District 15","=""2150012""",0,152,"*",15,"*","*",15,0,"*",35
"Regional School District 16","=""2160012""","*",122,"*",7,"*",12,"*","*",6,27
"Regional School District 17","=""2170012""","*",73,"*",14,"*",19,"*","*","*",7
"Regional School District 18","=""2180012""",0,49,"*",21,"*",6,"*","*","*","*"
"Regional School District 19","=""2190012""","*",37,"*",9,6,"*",9,"*",0,10
"Ridgefield School District","=""1180011""","*",16,"*",33,0,19,9,0,"*",10
"Rocky Hill School District","=""1190011""","*",81,"*",12,"*","*",11,"*","*","*"
"Salem School District","=""1210011""",0,10,0,"*",0,"*","*",0,0,0
"Salisbury School District","=""1220011""",0,"*",0,0,0,"*","*",0,0,0
"Scotland School District","=""1230011""",0,"*",0,"*",0,0,"*",0,0,0
"Seymour School District","=""1240011""","*",331,7,33,25,20,34,9,"*",43
"Sharon School District","=""1250011""",0,"*",0,"*",0,6,7,0,0,0
"Shelton School District","=""1260011""","*",508,"*",27,8,26,8,6,"*",28
"Sherman School District","=""1270011""",0,"*",0,"*","*",0,"*",0,0,0
"Side By Side Charter School District","=""2700013""",0,"*",0,"*","*","*",0,"*",0,0
"Simsbury School District","=""1280011""","*",56,"*","*","*",28,13,"*","*",7
"Somers School District","=""1290011""","*",61,"*",17,"*",9,15,0,"*",17
"South Windsor School District","=""1320011""",0,124,"*",33,"*",52,23,6,"*",21
"Southington School District","=""1310011""","*",242,"*",48,18,24,49,10,"*",39
"Sprague School District","=""1330011""","*",27,"*",18,"*",52,7,0,0,0
"Stafford School District","=""1340011""","*",125,0,13,"*",22,19,"*",0,18
"Stamford Academy District","=""2820013""","*",16,"*",8,0,6,20,0,0,"*"
"Stamford School District","=""1350011""",8,168,10,59,17,118,180,6,21,51
"Sterling School District","=""1360011""",0,35,0,"*",0,"*",25,0,"*",0
"Stonington School District","=""1370011""",0,210,0,9,"*",6,17,"*","*",17
"Stratford School District","=""1380011""","*",473,20,65,26,109,154,6,18,16
"Suffield School District","=""1390011""",0,"*","*",18,"*",22,13,"*","*",24
"The Bridge Academy District","=""2690013""",0,47,"*",40,"*",18,15,0,0,"*"
"The Gilbert School District","=""9020022""",0,515,"*",23,"*",15,15,8,6,25
"Thomaston School District","=""1400011""","*",82,0,7,0,11,14,"*","*","*"
"Thompson School District","=""1410011""",0,42,"*",12,0,18,13,0,"*","*"
"Tolland School District","=""1420011""",0,44,6,12,"*",13,16,"*","*",19
"Torrington School District","=""1430011""",0,434,10,63,11,107,50,23,8,24
"Trailblazers Academy District","=""2780013""",0,"*","*",0,"*","*",20,0,0,"*"
"Trumbull School District","=""1440011""",0,73,"*",11,"*",8,14,7,"*",20
"Unified School District #2","=""3470015""",0,6,"*",11,0,14,82,"*",0,0
"Vernon School District","=""1460011""","*",980,9,110,30,194,153,41,10,49
"Voluntown School District","=""1470011""",0,"*",0,"*",0,"*","*",0,0,0
"Wallingford School District","=""1480011""",6,307,28,57,10,28,87,6,"*",25
"Waterbury School District","=""1510011""",24,8757,70,459,112,1341,1643,80,79,49
"Waterford School District","=""1520011""",0,224,9,24,13,33,18,"*","*",11
"Watertown School District","=""1530011""","*",270,"*",52,"*",24,10,0,"*",10
"West Hartford School District","=""1550011""","*",410,11,99,24,131,80,7,10,43
"West Haven School District","=""1560011""","*",535,"*",27,"*",111,55,"*",9,18
"Westbrook School District","=""1540011""",0,"*","*",0,0,0,"*",0,0,0
"Weston School District","=""1570011""",0,12,0,"*",0,"*",6,0,"*","*"
"Westport School District","=""1580011""",0,48,9,19,11,6,14,"*","*",20
"Wethersfield School District","=""1590011""",0,99,0,24,7,26,31,6,8,7
"Willington School District","=""1600011""",0,9,0,7,0,"*","*",0,0,"*"
"Wilton School District","=""1610011""",0,54,"*","*","*","*",6,0,0,10
"Winchester School District","=""1620011""","*","*",0,"*",0,"*",11,"*","*","*"
"Windham School District","=""1630011""","*",873,21,146,36,261,208,45,17,15
"Windsor Locks School District","=""1650011""",0,177,8,24,"*",24,41,"*","*",9
"Windsor School District","=""1640011""",0,892,"*",58,37,127,361,"*",8,18
"Wolcott School District","=""1660011""",0,114,"*",13,7,26,19,"*","*",9
"Woodbridge School District","=""1670011""",0,0,0,"*",0,0,"*",0,"*",0
"Woodstock Academy District","=""9030022""",0,69,12,8,"*","*",7,"*","*",23
"Woodstock School District","=""1690011""",0,16,0,"*","*","*",9,0,0,0

