"Incident Counts, 2013-14"
"All Districts"

"",,"Incident Type",,,,,,,,,
"District","District Code","Violent Crimes Against Persons","School Policy Violations","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco"
"Achievement First Hartford Academy Inc. District","=""2880013""","*",888,15,37,"*",160,30,"*","*","*"
"Amistad Academy District","=""2790013""","*",1523,"*",56,14,181,86,"*",7,"*"
"Andover School District","=""0010011""",0,0,0,0,"*","*","*",0,0,0
"Ansonia School District","=""0020011""",0,378,"*",30,"*",19,62,12,6,19
"Area Cooperative Educational Services","=""2440014""","*",160,9,76,11,154,131,15,7,14
"Ashford School District","=""0030011""",0,10,"*","*",0,6,"*",0,0,0
"Avon School District","=""0040011""","*",51,0,9,"*",14,11,0,"*",7
"Barkhamsted School District","=""0050011""","*",0,"*","*",0,"*","*",0,0,0
"Berlin School District","=""0070011""","*",159,"*",19,"*",14,21,"*","*","*"
"Bethany School District","=""0080011""",0,"*",0,"*",0,"*","*",0,0,0
"Bethel School District","=""0090011""",0,271,6,44,"*",34,20,8,"*",14
"Bloomfield School District","=""0110011""","*",339,12,36,19,94,113,6,"*",7
"Bolton School District","=""0120011""",0,34,"*","*",0,"*",8,"*",0,0
"Bozrah School District","=""0130011""",0,0,"*",12,"*","*",19,0,0,0
"Branford School District","=""0140011""","*",343,"*",25,7,25,12,"*","*",54
"Bridgeport Achievement First District","=""2850013""","*",1310,0,28,"*",113,87,"*","*",8
"Bridgeport School District","=""0150011""",72,5374,110,637,122,1882,2656,150,97,55
"Bristol School District","=""0170011""",12,1201,24,131,42,168,217,6,19,65
"Brookfield School District","=""0180011""",0,53,"*",7,"*",14,18,"*","*",20
"Brooklyn School District","=""0190011""","*",63,0,19,"*",43,"*",9,"*",11
"Canaan School District","=""0210011""",0,0,0,"*",0,0,"*",0,0,0
"Canterbury School District","=""0220011""",0,"*",0,11,0,0,"*","*","*",6
"Canton School District","=""0230011""",0,"*",0,"*",0,"*",10,0,"*","*"
"Capitol Region Education Council","=""2410014""",10,669,26,106,49,175,298,17,18,50
"Chaplin School District","=""0240011""",0,0,0,0,0,0,"*",0,"*",0
"Cheshire School District","=""0250011""","*",137,10,41,7,19,34,6,"*",34
"Chester School District","=""0260011""",0,"*",0,10,0,35,8,0,0,0
"Clinton School District","=""0270011""","*",105,"*",28,"*",15,11,"*",0,21
"Colchester School District","=""0280011""","*",186,"*",35,"*",13,12,"*","*",17
"Colebrook School District","=""0290011""",0,"*",0,0,0,0,"*",0,0,0
"Columbia School District","=""0300011""",0,0,0,"*","*","*","*",0,"*",0
"Common Ground High School District","=""2680013""",0,10,"*","*","*","*","*","*",0,"*"
"Connecticut Technical High School System","=""9000016""",9,1797,61,234,48,380,252,45,51,221
"Cooperative Educational Services","=""2430014""","*",42,0,14,0,33,6,"*","*",0
"Cornwall School District","=""0310011""",0,0,0,"*",0,0,0,0,0,0
"Coventry School District","=""0320011""",0,103,0,24,"*",34,26,"*","*","*"
"Cromwell School District","=""0330011""",0,192,"*",38,10,18,44,"*","*",7
"Danbury School District","=""0340011""",8,1784,23,95,40,63,177,20,21,67
"Darien School District","=""0350011""",0,45,0,8,"*",7,0,29,"*",29
"Deep River School District","=""0360011""","*",0,0,0,0,"*",0,0,0,0
"Derby School District","=""0370011""","*",262,"*",23,"*",46,58,"*",7,11
"East Granby School District","=""0400011""",0,27,"*",7,"*","*",6,0,"*",8
"East Hampton School District","=""0420011""",0,21,8,17,"*",11,16,"*","*",17
"East Hartford School District","=""0430011""",7,2764,77,285,86,924,123,42,19,34
"East Haven School District","=""0440011""",6,335,18,57,"*",31,74,6,"*",34
"East Lyme School District","=""0450011""",0,67,"*",13,"*",8,29,"*","*",11
"East Windsor School District","=""0470011""",0,151,"*",32,17,35,62,"*",9,18
"Eastford School District","=""0390011""",0,"*",0,"*",0,0,0,0,"*",0
"Easton School District","=""0460011""",0,9,0,6,0,"*",8,0,0,0
