"Incident Counts, 2010-11"
"All Districts"

"",,"Incident Type",,,,,,,,,
"District","District Code","Violent Crimes Against Persons","School Policy Violations","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco"
"Achievement First Hartford Academy Inc. District","=""2880013""",0,623,"*",11,"*",78,28,"*",0,0
"Amistad Academy District","=""2790013""","*",222,"*",14,8,43,6,"*","*","*"
"Andover School District","=""0010011""",0,0,"*",0,0,"*","*",0,0,0
"Ansonia School District","=""0020011""","*",591,"*",10,"*",49,49,6,6,"*"
"Area Cooperative Educational Services","=""2440014""","*",210,12,62,15,182,171,17,14,12
"Ashford School District","=""0030011""","*",19,0,6,0,"*","*","*","*","*"
"Avon School District","=""0040011""",0,44,0,12,0,9,8,0,"*",6
"Barkhamsted School District","=""0050011""",0,0,0,0,0,0,"*",0,0,0
"Berlin School District","=""0070011""","*",532,6,31,9,24,29,7,"*",52
"Bethany School District","=""0080011""",0,"*","*","*",0,0,0,"*",0,0
"Bethel School District","=""0090011""","*",270,14,48,12,14,25,7,"*",14
"Bloomfield School District","=""0110011""",0,383,9,26,13,146,63,"*","*",14
"Bolton School District","=""0120011""",0,21,"*","*",0,13,7,0,"*","*"
"Bozrah School District","=""0130011""",0,"*",0,"*",0,"*",0,0,0,0
"Branford School District","=""0140011""",0,349,16,41,16,33,27,8,"*",71
"Bridgeport Achievement First District","=""2850013""","*",343,"*",28,"*",48,19,9,"*","*"
"Bridgeport School District","=""0150011""",99,6670,151,1140,162,1742,2406,181,91,80
"Bristol School District","=""0170011""",15,1240,19,119,22,110,173,12,11,53
"Brookfield School District","=""0180011""",0,58,"*","*","*",7,14,0,"*",17
"Brooklyn School District","=""0190011""",9,47,"*",23,"*",86,10,6,"*","*"
"Canterbury School District","=""0220011""","*",17,"*","*",0,8,0,0,"*",0
"Canton School District","=""0230011""",0,27,"*",9,0,"*","*","*",0,"*"
"Capitol Region Education Council","=""2410014""","*",809,25,92,41,259,197,29,"*",12
"Chaplin School District","=""0240011""",0,0,"*",0,"*",0,0,0,0,0
"Cheshire School District","=""0250011""","*",145,11,58,15,10,32,6,0,30
"Chester School District","=""0260011""",0,"*",0,7,"*",16,20,"*","*",0
"Clinton School District","=""0270011""",0,205,"*",16,0,16,28,0,"*",24
"Colchester School District","=""0280011""","*",195,"*",23,12,18,24,0,7,45
"Colebrook School District","=""0290011""",0,0,0,0,0,"*",0,0,0,0
"Columbia School District","=""0300011""",0,0,"*","*",0,"*","*",0,0,0
"Common Ground High School District","=""2680013""",0,12,0,6,0,"*",0,0,0,0
"Connecticut Technical High School System","=""9000016""",39,3330,90,375,87,513,276,67,51,231
"Cooperative Educational Services","=""2430014""","*",55,0,20,"*",46,17,"*",0,"*"
"Cornwall School District","=""0310011""",0,6,0,"*",0,0,0,0,0,0
"Coventry School District","=""0320011""",0,404,7,70,"*",43,16,12,"*",27
"Cromwell School District","=""0330011""","*",465,8,46,10,11,62,6,"*",9
"Danbury School District","=""0340011""",8,2395,"*",74,52,114,274,16,26,66
"Darien School District","=""0350011""","*",28,"*","*",8,7,9,7,"*",11
"Deep River School District","=""0360011""",0,"*",0,"*",0,8,0,0,0,0
"Derby School District","=""0370011""","*",422,6,33,"*",15,39,"*","*",0
"East Granby School District","=""0400011""","*",15,0,6,0,11,11,"*","*","*"
"East Haddam School District","=""0410011""",0,38,"*",7,"*",8,"*",0,"*","*"
"East Hampton School District","=""0420011""","*",108,0,12,"*","*",23,"*","*",6
"East Hartford School District","=""0430011""",13,4121,50,393,104,961,283,41,19,47
"East Haven School District","=""0440011""",10,764,26,84,12,62,69,24,8,23
"East Lyme School District","=""0450011""","*",84,"*",17,8,15,40,17,0,14
"East Windsor School District","=""0470011""",0,261,"*",34,7,9,49,"*","*",34
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,17,"*",24,0,11,15,12,0,0
"Eastford School District","=""0390011""",0,"*",0,"*",0,"*",0,0,0,0
"Easton School District","=""0460011""",0,0,"*","*",0,"*",7,"*",0,0
"Education Connection","=""2420014""",0,"*",0,"*",0,"*",16,0,"*",0
"Ellington School District","=""0480011""","*",244,"*",35,6,35,18,"*","*",33
"Elm City College Preparatory School District","=""2890013""","*",371,8,20,"*",36,45,"*",9,"*"
"Enfield School District","=""0490011""","*",822,10,45,19,86,122,8,"*",40
"Essex School District","=""0500011""",0,0,0,0,0,"*",0,0,0,0
"Explorations District","=""2720013""",0,58,0,0,0,0,0,0,0,"*"
"Fairfield School District","=""0510011""","*",207,15,63,24,40,61,14,"*",33
"Farmington School District","=""0520011""","*",83,"*",12,6,18,35,"*","*",15
"Glastonbury School District","=""0540011""","*",72,6,15,9,10,19,"*","*",44
"Granby School District","=""0560011""","*",46,"*",11,6,"*",9,"*",0,17
"Greenwich School District","=""0570011""","*",218,"*",26,15,34,50,"*",10,126
"Griswold School District","=""0580011""",0,495,0,24,11,36,20,8,"*",16
"Groton School District","=""0590011""","*",509,"*",86,25,99,81,10,11,41
"Guilford School District","=""0600011""","*",107,"*",18,6,17,20,"*","*",10
"Hamden School District","=""0620011""",0,1526,14,81,19,249,140,17,"*",25
"Hampton School District","=""0630011""",0,"*",0,"*",0,0,"*","*",0,0
"Hartford School District","=""0640011""",65,5682,91,591,102,712,2122,178,84,97
"Hebron School District","=""0670011""",0,0,0,"*",0,"*","*",0,0,0
"Integrated Day Charter School District","=""2640013""",0,6,0,"*",0,"*","*",0,"*",0
"Interdistrict School for Arts and Comm District","=""2650013""",0,13,6,"*",0,6,9,0,"*",0
"Jumoke Academy District","=""2610013""","*",6,0,"*","*",34,"*",0,"*",0
"Killingly School District","=""0690011""","*",711,13,68,20,99,70,17,11,60
"Learn","=""2450014""","*",10,0,6,"*","*",18,"*","*","*"
"Lebanon School District","=""0710011""","*",96,"*",6,7,7,23,"*",0,7
"Ledyard School District","=""0720011""",0,57,"*",21,6,11,21,"*","*",10
"Lisbon School District","=""0730011""",0,11,0,"*","*","*",10,0,0,"*"
"Litchfield School District","=""0740011""","*",50,0,8,"*",6,17,0,"*",10
"Madison School District","=""0760011""",0,115,0,9,9,15,"*","*","*",17
"Manchester School District","=""0770011""",7,1058,11,162,36,311,58,14,22,19
"Mansfield School District","=""0780011""",0,13,0,"*",0,"*","*",0,"*",0
"Marlborough School District","=""0790011""","*",10,0,0,0,0,"*",0,0,0
"Meriden School District","=""0800011""",7,3928,23,200,52,966,40,33,55,54
"Middletown School District","=""0830011""","*",705,7,86,15,168,105,"*",14,17
"Milford School District","=""0840011""","*",226,7,28,"*",19,52,"*",7,13
"Monroe School District","=""0850011""","*",81,"*","*",9,10,"*","*",7,11
"Montville School District","=""0860011""","*",434,"*",56,"*",44,70,10,6,18
"Naugatuck School District","=""0880011""","*",1338,18,66,30,171,170,10,16,35
"New Beginnings Inc., Family Academy District","=""2800013""","*",55,0,12,"*",32,59,"*",0,0
"New Britain School District","=""0890011""",13,930,57,241,53,686,812,62,38,24
"New Canaan School District","=""0900011""","*",26,0,12,0,0,"*","*",0,14
"New Fairfield School District","=""0910011""","*",206,"*",13,8,"*",20,"*","*",50
"New Hartford School District","=""0920011""",0,0,"*",0,0,"*","*",0,0,0
"New Haven School District","=""0930011""",10,1663,58,262,40,481,812,40,54,46
"New London School District","=""0950011""","*",985,39,142,19,352,142,11,27,21
"New Milford School District","=""0960011""","*",732,6,41,20,37,47,"*",14,36
"Newington School District","=""0940011""","*",497,"*",20,29,29,58,15,"*",30
"Newtown School District","=""0970011""","*",140,13,22,16,22,35,"*",7,37
"North Branford School District","=""0990011""","*",491,"*",44,"*",20,50,11,"*",17
"North Canaan School District","=""1000011""",0,"*",0,8,"*",0,11,0,0,0
"North Haven School District","=""1010011""",0,136,"*",37,"*",63,19,7,"*",22
"North Stonington School District","=""1020011""","*",92,"*",19,"*","*",35,"*","*","*"
"Norwalk School District","=""1030011""",112,1491,40,179,44,169,211,30,23,83
"Norwich Free Academy District","=""9010022""",0,581,"*",48,8,14,22,"*","*",20
"Norwich School District","=""1040011""","*",415,20,117,13,142,192,13,22,6
"Odyssey Community School District","=""2630013""","*","*",0,"*","*",0,"*",0,0,0
"Old Saybrook School District","=""1060011""",0,49,0,9,7,22,6,"*",0,6
"Orange School District","=""1070011""",0,"*",0,"*",0,"*",0,0,0,0
"Oxford School District","=""1080011""","*",48,0,"*",0,"*","*",0,0,"*"
"Park City Prep Charter School District","=""2830013""","*",58,"*","*",0,26,16,"*","*",0
"Plainfield School District","=""1090011""","*",299,10,116,12,84,27,16,10,31
"Plainville School District","=""1100011""","*",142,"*",23,"*",24,37,"*","*",8
"Plymouth School District","=""1110011""",0,142,6,22,"*",25,14,6,"*",7
"Pomfret School District","=""1120011""",0,"*","*","*","*","*",0,0,0,0
"Portland School District","=""1130011""","*",63,0,"*",11,"*",17,0,0,"*"
"Preston School District","=""1140011""",0,9,0,"*",0,0,10,0,0,0
"Putnam School District","=""1160011""","*",263,9,49,12,79,31,10,"*",6
"Redding School District","=""1170011""",0,"*",0,"*",0,11,"*",0,"*",0
"Regional School District 01","=""2010012""","*",42,0,8,0,0,"*","*","*",7
"Regional School District 04","=""2040012""",0,84,"*",6,"*","*","*","*","*",7
"Regional School District 05","=""2050012""",0,272,"*",10,"*",13,17,"*","*",168
"Regional School District 06","=""2060012""","*",75,11,28,7,17,24,10,"*",7
"Regional School District 07","=""2070012""",7,34,"*",7,7,10,10,"*","*",10
"Regional School District 08","=""2080012""","*",248,9,46,15,11,14,"*","*",21
"Regional School District 09","=""2090012""",0,0,0,"*","*","*","*",0,"*",16
"Regional School District 10","=""2100012""",0,211,0,12,7,15,"*","*",9,24
"Regional School District 11","=""2110012""",0,42,0,"*",0,6,17,"*",0,7
"Regional School District 12","=""2120012""",0,66,0,"*","*","*",6,"*","*",9
"Regional School District 13","=""2130012""",0,17,"*","*","*","*","*","*","*","*"
"Regional School District 14","=""2140012""",0,98,"*",9,0,12,"*",0,"*",19
"Regional School District 15","=""2150012""",0,145,"*",15,"*",16,32,"*","*",38
"Regional School District 16","=""2160012""",0,264,"*",39,6,29,10,"*","*",41
"Regional School District 17","=""2170012""","*",111,0,24,8,109,"*",9,"*",13
"Regional School District 18","=""2180012""",0,32,0,"*","*",9,13,"*","*","*"
"Regional School District 19","=""2190012""",0,183,"*",18,12,10,6,"*","*",25
"Ridgefield School District","=""1180011""",6,47,"*",17,7,33,22,"*","*",30
"Rocky Hill School District","=""1190011""","*",132,"*",18,"*",21,27,"*",0,"*"
"Salem School District","=""1210011""","*","*","*",7,"*",0,"*",0,0,0
"Salisbury School District","=""1220011""",0,12,0,"*",0,0,"*",0,0,0
"Scotland School District","=""1230011""",0,"*",0,0,0,0,"*",0,0,0
"Seymour School District","=""1240011""",9,486,7,44,9,27,41,"*","*",27
"Sharon School District","=""1250011""",0,"*",0,"*",0,0,0,0,0,0
"Shelton School District","=""1260011""",10,631,13,46,16,51,17,7,"*",31
"Sherman School District","=""1270011""",0,"*",0,0,0,0,"*","*",0,0
"Side By Side Charter School District","=""2700013""",0,11,0,"*","*",14,"*","*",0,0
"Simsbury School District","=""1280011""",0,231,0,19,"*",33,36,"*",12,15
"Somers School District","=""1290011""",0,81,"*",6,"*",12,13,0,0,8
"South Windsor School District","=""1320011""","*",311,10,50,20,41,34,"*",0,41
"Southington School District","=""1310011""",6,280,"*",67,27,61,70,6,12,51
"Sprague School District","=""1330011""",0,21,0,6,"*",11,"*","*","*","*"
"Stafford School District","=""1340011""","*",447,"*",49,7,17,33,9,"*",8
"Stamford Academy District","=""2820013""",0,0,"*","*","*",8,"*","*",0,7
"Stamford School District","=""1350011""","*",462,12,74,20,107,175,15,29,100
"Sterling School District","=""1360011""","*",10,"*",9,"*","*",31,"*","*",0
"Stonington School District","=""1370011""",0,171,9,10,0,63,11,"*","*",7
"Stratford School District","=""1380011""",6,896,22,93,11,130,181,11,14,43
"Suffield School District","=""1390011""",0,229,7,45,9,30,22,"*","*",9
"The Bridge Academy District","=""2690013""",0,107,"*",21,"*",9,41,0,0,"*"
"The Gilbert School District","=""9020022""",0,75,0,14,"*",12,0,0,"*",11
"Thomaston School District","=""1400011""","*",152,0,24,"*",36,6,"*",0,6
"Thompson School District","=""1410011""","*",177,11,27,"*",49,10,12,6,18
"Tolland School District","=""1420011""",0,217,"*",26,6,34,16,"*",0,32
"Torrington School District","=""1430011""",25,678,19,60,11,105,201,"*",13,19
"Trailblazers Academy District","=""2780013""",0,0,0,0,0,"*",9,0,0,0
"Trumbull School District","=""1440011""","*",93,6,10,"*",24,25,"*",6,10
"Unified School District #2","=""3470015""",0,9,"*",25,"*",35,49,"*",0,0
"Union School District","=""1450011""",0,"*",0,"*",0,0,0,0,0,0
"Vernon School District","=""1460011""",0,1025,20,61,"*",103,58,"*",6,12
"Voluntown School District","=""1470011""",0,"*","*",0,0,0,0,"*",0,0
"Wallingford School District","=""1480011""",8,620,15,63,6,60,96,8,6,39
"Waterbury School District","=""1510011""",37,11828,34,388,83,1280,789,91,65,77
"Waterford School District","=""1520011""",0,304,"*",30,11,27,36,7,"*",40
"Watertown School District","=""1530011""","*",650,"*",62,13,33,53,6,7,32
"West Hartford School District","=""1550011""","*",757,"*",79,12,78,76,"*",8,48
"West Haven School District","=""1560011""",6,1278,12,65,"*",255,99,13,31,60
"Westbrook School District","=""1540011""","*",162,0,14,0,10,"*",0,"*",20
"Weston School District","=""1570011""","*",11,0,"*","*","*","*","*","*",6
"Westport School District","=""1580011""",0,78,"*",23,"*",15,24,"*","*",11
"Wethersfield School District","=""1590011""","*",185,8,12,9,10,32,"*",6,8
"Willington School District","=""1600011""",0,13,0,12,"*","*",8,0,0,0
"Wilton School District","=""1610011""",0,43,0,9,"*",6,20,"*","*",17
"Winchester School District","=""1620011""",0,61,"*",12,0,11,"*","*",0,"*"
"Windham School District","=""1630011""","*",1384,31,318,43,169,540,87,19,32
"Windsor Locks School District","=""1650011""","*",190,"*",24,7,25,28,0,8,19
"Windsor School District","=""1640011""",0,991,8,67,27,119,173,6,14,24
"Wolcott School District","=""1660011""","*",135,"*",38,11,40,21,6,6,"*"
"Woodbridge School District","=""1670011""",0,0,0,0,"*",0,0,0,0,0
"Woodstock Academy District","=""9030022""",0,86,"*",15,7,"*",10,0,"*",12
"Woodstock School District","=""1690011""",0,"*","*",6,0,0,"*",0,"*",0

