"Incident Counts, 2011-12"
"All Districts"

"",,"Incident Type",,,,,,,,,
"District","District Code","Violent Crimes Against Persons","School Policy Violations","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco"
"Achievement First Hartford Academy Inc. District","=""2880013""","*",1606,9,45,10,81,37,10,"*",0
"Amistad Academy District","=""2790013""","*",369,8,21,8,64,16,0,"*","*"
"Andover School District","=""0010011""",0,0,0,"*","*",0,0,0,0,0
"Ansonia School District","=""0020011""",0,558,"*",18,"*",35,29,"*",10,"*"
"Area Cooperative Educational Services","=""2440014""","*",153,8,56,9,195,185,15,8,10
"Ashford School District","=""0030011""","*",7,"*","*","*","*",9,"*","*",0
"Avon School District","=""0040011""","*",36,0,14,"*",8,26,"*","*","*"
"Barkhamsted School District","=""0050011""",0,0,0,0,0,0,0,0,"*",0
"Berlin School District","=""0070011""","*",317,"*",28,10,33,24,8,"*",19
"Bethany School District","=""0080011""",0,"*",0,"*",0,0,7,"*",0,0
"Bethel School District","=""0090011""","*",339,"*",46,15,21,30,6,"*",18
"Bloomfield School District","=""0110011""","*",351,"*",39,9,170,29,"*","*","*"
"Bolton School District","=""0120011""",0,10,0,12,0,"*",11,0,"*","*"
"Bozrah School District","=""0130011""",0,"*",0,0,0,"*","*",0,0,0
"Branford School District","=""0140011""",0,285,"*",35,15,20,16,"*","*",15
"Bridgeport Achievement First District","=""2850013""","*",659,"*",28,"*",26,47,"*","*",0
"Bridgeport School District","=""0150011""",113,6617,180,1209,169,2444,2881,222,104,89
"Bristol School District","=""0170011""",10,1294,25,175,30,69,153,16,7,59
"Brookfield School District","=""0180011""",0,101,"*",7,"*","*",20,"*","*",14
"Brooklyn School District","=""0190011""","*",73,14,26,9,67,16,16,"*","*"
"Canterbury School District","=""0220011""",0,10,"*",16,"*","*","*","*","*",0
"Canton School District","=""0230011""",0,47,0,6,"*","*",9,"*","*",6
"Capitol Region Education Council","=""2410014""","*",378,11,76,12,50,120,15,10,"*"
"Chaplin School District","=""0240011""",0,0,"*","*",0,0,0,0,"*",0
"Cheshire School District","=""0250011""",11,183,"*",66,7,13,29,8,6,21
"Chester School District","=""0260011""",0,0,0,9,"*",24,10,0,"*",0
"Clinton School District","=""0270011""",0,240,7,16,"*",15,9,0,"*",42
"Colchester School District","=""0280011""",0,183,"*",23,6,18,14,"*","*",35
"Columbia School District","=""0300011""",0,"*","*",8,"*","*","*","*","*",0
"Common Ground High School District","=""2680013""",0,14,"*","*","*",0,"*",0,"*","*"
"Connecticut Technical High School System","=""9000016""",37,3792,103,368,95,395,210,84,61,286
"Cooperative Educational Services","=""2430014""",0,21,"*",20,"*",54,11,9,"*",0
"Coventry School District","=""0320011""",0,211,10,35,"*",20,19,10,"*",38
"Cromwell School District","=""0330011""","*",269,11,49,12,29,42,12,"*",16
"Danbury School District","=""0340011""",6,2329,6,100,52,65,196,19,17,41
"Darien School District","=""0350011""",0,35,0,"*",7,7,10,"*",0,9
"Deep River School District","=""0360011""",0,"*",0,0,"*","*",7,0,0,0
"Derby School District","=""0370011""","*",175,"*",22,8,35,67,0,10,"*"
"East Granby School District","=""0400011""",0,20,"*","*","*","*",9,0,"*",0
"East Haddam School District","=""0410011""",0,44,0,6,7,"*",8,"*","*","*"
"East Hampton School District","=""0420011""","*",73,"*",17,"*",10,19,"*","*","*"
"East Hartford School District","=""0430011""","*",3735,98,342,91,1014,205,69,27,29
"East Haven School District","=""0440011""",7,600,19,88,13,46,93,12,"*",31
"East Lyme School District","=""0450011""",0,100,8,28,7,7,29,"*","*",18
"East Windsor School District","=""0470011""",0,340,"*",24,7,15,27,0,"*",6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,17,"*","*",0,"*",9,"*",0,7
"Eastford School District","=""0390011""",0,"*",0,"*",0,"*",0,0,"*",0
"Easton School District","=""0460011""",0,0,0,7,0,"*","*",0,"*",0
"Education Connection","=""2420014""",0,0,0,"*",0,"*",49,"*",0,0
"Ellington School District","=""0480011""",0,184,"*",44,8,29,24,"*","*",27
"Elm City College Preparatory School District","=""2890013""","*",460,0,21,9,42,"*","*","*","*"
"Enfield School District","=""0490011""",0,932,"*",49,24,105,96,8,16,32
"Explorations District","=""1480011""",0,35,0,0,0,0,0,"*",0,6
"Explorations District","=""2720013""",0,35,0,0,0,0,0,"*",0,6
"Fairfield School District","=""0510011""",6,176,15,59,39,37,64,11,6,31
"Farmington School District","=""0520011""","*",22,0,20,"*",9,32,"*","*",16
"Franklin School District","=""0530011""",0,0,0,0,0,0,"*",0,"*",0
"Glastonbury School District","=""0540011""",0,116,"*",23,6,7,17,"*","*",40
"Granby School District","=""0560011""",0,37,0,16,"*",17,9,0,"*",9
"Greenwich School District","=""0570011""","*",155,"*",16,18,31,47,"*","*",151
"Griswold School District","=""0580011""","*",466,"*",30,6,49,16,"*","*",23
"Groton School District","=""0590011""","*",531,"*",91,29,161,89,18,17,22
"Guilford School District","=""0600011""",0,216,"*",12,11,13,18,"*",6,10
"Hamden School District","=""0620011""","*",1066,13,98,30,160,124,9,16,28
"Hampton School District","=""0630011""",0,"*",0,"*","*",0,"*",0,"*",0
"Hartford School District","=""0640011""",65,5268,81,625,139,529,2749,231,183,104
"Hartland School District","=""0650011""",0,0,0,"*",0,0,0,0,0,0
"Hebron School District","=""0670011""",0,0,0,12,0,"*","*",0,0,0
"Highville Charter School District","=""2860013""",0,10,0,0,0,"*","*",0,0,0
"Integrated Day Charter School District","=""2640013""",0,10,0,7,0,"*",10,0,"*",0
"Interdistrict School for Arts and Comm District","=""2650013""","*",70,"*",51,"*",11,31,"*","*","*"
"Jumoke Academy District","=""2610013""",0,25,0,0,0,"*",0,0,0,0
"Killingly School District","=""0690011""",0,371,12,67,9,130,14,"*","*",26
"Learn","=""2450014""","*",80,"*",14,"*",6,50,"*","*","*"
"Lebanon School District","=""0710011""","*",35,"*",11,7,9,23,"*","*",8
"Ledyard School District","=""0720011""","*",82,6,41,10,15,17,"*",0,25
"Lisbon School District","=""0730011""",0,13,"*",0,"*","*",9,"*","*","*"
"Litchfield School District","=""0740011""",0,81,"*",10,0,"*",10,"*",0,"*"
"Madison School District","=""0760011""","*",105,"*",21,"*",22,6,"*","*",14
"Manchester School District","=""0770011""",18,1221,9,177,26,259,50,15,12,38
"Mansfield School District","=""0780011""",0,17,0,6,"*",0,"*","*",0,"*"
"Marlborough School District","=""0790011""",0,9,0,0,0,0,0,0,0,0
"Meriden School District","=""0800011""",6,3316,24,230,43,403,12,30,41,40
"Middletown School District","=""0830011""",11,488,"*",68,20,88,147,8,6,14
"Milford School District","=""0840011""","*",610,16,44,"*",27,66,8,6,19
"Monroe School District","=""0850011""",0,34,"*","*","*",11,10,"*","*",6
"Montville School District","=""0860011""","*",766,"*",59,"*",47,83,9,"*",29
"Naugatuck School District","=""0880011""",7,920,"*",83,20,108,110,12,13,40
"New Beginnings Inc., Family Academy District","=""2800013""",0,33,0,9,6,20,28,"*",0,0
"New Britain School District","=""0890011""",21,3772,67,318,98,1099,704,69,41,34
"New Canaan School District","=""0900011""","*",9,"*",20,6,"*","*",0,0,7
