"Incident Counts, 2017-18"
"All Districts"

"",,"Incident Type",,,,,,,,,
"District","District Code","Violent Crimes Against Persons","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco","School Policy Violations"
"Achievement First Bridgeport Academy District","=""2850013""",0,0,0,"*",42,49,0,0,8,308
"Achievement First Hartford Academy District","=""2880013""","*",8,"*",7,66,39,"*",6,"*",286
"Amistad Academy District","=""2790013""","*","*",8,"*",165,31,"*","*",7,600
"Andover School District","=""0010011""",0,0,0,"*",0,0,0,0,0,"*"
"Ansonia School District","=""0020011""",0,0,25,"*",94,64,7,6,11,289
"Area Cooperative Educational Services","=""2440014""","*",20,54,11,151,121,15,14,7,87
"Ashford School District","=""0030011""",0,0,"*",0,"*","*",0,0,0,"*"
"Avon School District","=""0040011""","*","*",8,7,11,33,"*",0,29,47
"Berlin School District","=""0070011""","*","*",13,"*",18,32,"*",0,38,39
"Bethany School District","=""0080011""",0,0,"*",0,10,12,"*",0,0,0
"Bethel School District","=""0090011""","*",8,52,11,54,26,"*","*",62,169
"Bloomfield School District","=""0110011""","*","*",26,9,155,72,8,9,11,268
"Bolton School District","=""0120011""","*",0,"*",0,8,10,"*","*",8,7
"Booker T. Washington Academy District","=""2950013""",0,0,0,0,"*","*",0,0,0,"*"
"Bozrah School District","=""0130011""",0,0,"*",0,"*",0,0,"*",0,"*"
"Branford School District","=""0140011""",0,"*",16,11,36,15,"*",0,63,273
"Brass City Charter School District","=""2900013""",0,0,"*",0,"*","*",0,0,0,0
"Bridgeport School District","=""0150011""",58,85,543,116,2067,2584,175,35,104,4058
"Bristol School District","=""0170011""",7,11,149,16,149,324,13,23,111,738
"Brookfield School District","=""0180011""",0,10,13,"*",21,29,0,"*",24,50
"Brooklyn School District","=""0190011""",7,6,19,"*",20,21,"*","*",0,25
"Canaan School District","=""0210011""","*",0,"*",0,0,0,0,0,0,"*"
"Canterbury School District","=""0220011""",0,0,0,0,0,0,0,0,0,11
"Canton School District","=""0230011""",0,"*","*",0,"*",9,0,"*","*",14
"Capital Preparatory Harbor School District","=""2970013""",0,"*",11,0,37,6,6,0,"*",46
"Capitol Region Education Council","=""2410014""","*",8,178,20,23,471,27,25,42,908
"Chaplin School District","=""0240011""",0,0,0,0,"*",0,"*",0,0,"*"
"Cheshire School District","=""0250011""","*","*",23,7,33,23,"*","*",46,67
"Chester School District","=""0260011""",0,0,"*",0,0,0,0,0,0,0
"Clinton School District","=""0270011""","*","*",18,"*",10,29,"*",6,21,68
"Colchester School District","=""0280011""",0,"*",10,"*",8,9,"*","*",23,124
"Colebrook School District","=""0290011""",0,0,0,0,"*","*",0,0,0,7
"Columbia School District","=""0300011""",0,"*","*",0,"*","*",0,0,"*",7
"Common Ground High School District","=""2680013""",0,"*",0,0,10,"*","*",0,0,"*"
"Connecticut Technical Education and Career System","=""9000016""",36,38,187,32,254,287,31,39,336,1591
"Cooperative Educational Services","=""2430014""","*","*","*",0,11,15,0,"*","*",17
"Cornwall School District","=""0310011""",0,0,"*",0,0,0,"*",0,0,"*"
"Coventry School District","=""0320011""","*",0,8,"*",17,25,8,0,7,21
"Cromwell School District","=""0330011""",0,"*",31,"*",22,39,"*","*",17,144
"Danbury School District","=""0340011""",36,22,83,20,134,196,20,11,149,1498
"Darien School District","=""0350011""",0,0,"*","*",13,0,"*","*",64,13
"Deep River School District","=""0360011""",0,0,"*",0,"*","*",0,0,0,0
"Derby School District","=""0370011""","*","*",33,"*",75,81,10,"*",7,148
"East Granby School District","=""0400011""",0,0,11,"*",15,7,"*","*",14,26
"East Haddam School District","=""0410011""",0,"*",19,"*",7,"*",0,"*",21,30
"East Hampton School District","=""0420011""",0,"*",9,"*","*",20,"*","*",11,17
"East Hartford School District","=""0430011""",0,29,147,57,799,221,84,17,29,1748
"East Haven School District","=""0440011""",9,6,33,8,10,43,16,"*",27,341
"East Lyme School District","=""0450011""","*",10,23,9,38,21,10,"*",30,77
"East Windsor School District","=""0470011""",0,6,26,6,75,27,"*",12,14,105
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,"*",8,"*",11,20,"*","*",10,13
"Eastford School District","=""0390011""",0,"*",0,0,"*","*",0,0,0,"*"
"Easton School District","=""0460011""",0,"*","*","*","*","*",0,0,"*","*"
"EdAdvance","=""2420014""",0,0,6,0,6,"*",0,0,0,"*"
"Ellington School District","=""0480011""",0,"*",11,9,34,15,0,"*",46,103
"Elm City College Preparatory School District","=""2890013""",0,"*","*","*",61,15,0,"*","*",287
"Elm City Montessori School District","=""2910013""",0,"*",0,0,9,16,0,0,0,"*"
"Enfield School District","=""0490011""","*","*",27,"*",102,60,10,9,91,735
"Essex School District","=""0500011""",0,0,"*",0,"*",0,0,0,0,"*"
"Explorations District","=""2720013""",0,0,"*",0,0,"*",0,0,9,19
"Fairfield School District","=""0510011""","*",7,19,25,39,12,9,"*",128,191
